Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/08/2020 	_x86_64_	(8 CPU)

05:32:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:41 PM  all    5.10    0.00    5.93    0.26    0.00    0.35    0.00    0.00    0.00   88.37
05:32:41 PM    0    5.69    0.00    8.54    0.36    0.00    0.36    0.00    0.00    0.00   85.05
05:32:41 PM    1    4.55    0.00    5.59    0.35    0.00    0.35    0.00    0.00    0.00   89.16
05:32:41 PM    2    5.36    0.00    6.07    0.00    0.00    0.36    0.00    0.00    0.00   88.21
05:32:41 PM    3    5.15    0.00    5.15    0.34    0.00    0.34    0.00    0.00    0.00   89.00
05:32:41 PM    4    5.99    0.00    5.63    0.35    0.00    0.00    0.00    0.00    0.00   88.03
05:32:41 PM    5    4.44    0.00    4.78    0.00    0.00    0.34    0.00    0.00    0.00   90.44
05:32:41 PM    6    5.24    0.00    5.94    0.00    0.00    0.70    0.00    0.00    0.00   88.11
05:32:41 PM    7    5.12    0.00    5.12    0.00    0.00    0.34    0.00    0.00    0.00   89.42

05:32:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:44 PM  all    5.60    0.00    4.46    0.92    0.00    0.52    0.00    0.00    0.00   88.50
05:32:44 PM    0    5.67    0.00    6.03    1.42    0.00    0.71    0.00    0.00    0.00   86.17
05:32:44 PM    1    4.84    0.00    4.15    0.69    0.00    0.00    0.00    0.00    0.00   90.31
05:32:44 PM    2    6.45    0.00    5.73    0.72    0.00    0.36    0.00    0.00    0.00   86.74
05:32:44 PM    3    5.24    0.00    5.59    0.70    0.00    0.00    0.00    0.00    0.00   88.46
05:32:44 PM    4    6.71    0.00    4.59    0.71    0.00    0.71    0.00    0.00    0.00   87.28
05:32:44 PM    5    5.48    0.00    4.11    1.71    0.00    0.34    0.00    0.00    0.00   88.36
05:32:44 PM    6    5.67    0.00    3.90    1.06    0.00    0.71    0.00    0.00    0.00   88.65
05:32:44 PM    7    4.44    0.00    2.39    0.34    0.00    1.02    0.00    0.00    0.00   91.81

05:32:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:47 PM  all   20.56    0.00   37.30   17.98    0.00   17.63    0.00    0.00    0.00    6.53
05:32:47 PM    0   20.43    0.00   39.07   20.07    0.00   12.19    0.00    0.00    0.00    8.24
05:32:47 PM    1   20.79    0.00   38.71   21.15    0.00    7.89    0.00    0.00    0.00   11.47
05:32:47 PM    2   20.00    0.00   34.91   22.55    0.00   15.64    0.00    0.00    0.00    6.91
05:32:47 PM    3   17.42    0.00   47.74   15.68    0.00    9.41    0.00    0.00    0.00    9.76
05:32:47 PM    4   22.15    0.00   30.80    9.00    0.00   37.37    0.00    0.00    0.00    0.69
05:32:47 PM    5   26.48    0.00   37.98   13.59    0.00   21.25    0.00    0.00    0.00    0.70
05:32:47 PM    6   20.49    0.00   31.80   23.32    0.00   18.02    0.00    0.00    0.00    6.36
05:32:47 PM    7   16.55    0.00   36.69   19.42    0.00   18.71    0.00    0.00    0.00    8.63

05:32:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:50 PM  all   17.53    0.00   36.68   20.18    0.00   17.76    0.00    0.00    0.00    7.85
05:32:50 PM    0   17.88    0.00   32.85   28.47    0.00   13.14    0.00    0.00    0.00    7.66
05:32:50 PM    1   14.55    0.00   42.18   20.00    0.00    8.00    0.00    0.00    0.00   15.27
05:32:50 PM    2   17.52    0.00   35.04   27.01    0.00   13.87    0.00    0.00    0.00    6.57
05:32:50 PM    3   13.62    0.00   47.31   14.70    0.00   10.39    0.00    0.00    0.00   13.98
05:32:50 PM    4   20.14    0.00   29.86   11.15    0.00   38.49    0.00    0.00    0.00    0.36
05:32:50 PM    5   25.70    0.00   38.73   17.25    0.00   17.96    0.00    0.00    0.00    0.35
05:32:50 PM    6   16.25    0.00   31.10   24.38    0.00   20.14    0.00    0.00    0.00    8.13
05:32:50 PM    7   14.39    0.00   36.69   18.71    0.00   19.78    0.00    0.00    0.00   10.43

05:32:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:53 PM  all   17.35    0.00   36.85   19.91    0.00   18.47    0.00    0.00    0.00    7.42
05:32:53 PM    0   18.84    0.00   35.51   26.09    0.00   11.59    0.00    0.00    0.00    7.97
05:32:53 PM    1   14.64    0.00   51.07   13.93    0.00    7.50    0.00    0.00    0.00   12.86
05:32:53 PM    2   16.12    0.00   37.00   23.44    0.00   16.85    0.00    0.00    0.00    6.59
05:32:53 PM    3   15.88    0.00   33.21   28.88    0.00    8.30    0.00    0.00    0.00   13.72
05:32:53 PM    4   19.43    0.00   31.45   12.37    0.00   35.69    0.00    0.00    0.00    1.06
05:32:53 PM    5   23.93    0.00   36.43   16.79    0.00   21.79    0.00    0.00    0.00    1.07
05:32:53 PM    6   15.88    0.00   30.69   22.38    0.00   23.83    0.00    0.00    0.00    7.22
05:32:53 PM    7   13.62    0.00   39.43   15.41    0.00   21.86    0.00    0.00    0.00    9.68

05:32:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:56 PM  all   17.30    0.00   36.75   20.22    0.00   17.74    0.00    0.00    0.00    8.00
05:32:56 PM    0   19.26    0.00   34.07   27.41    0.00   12.59    0.00    0.00    0.00    6.67
05:32:56 PM    1   13.87    0.00   40.51   23.72    0.00    5.84    0.00    0.00    0.00   16.06
05:32:56 PM    2   16.91    0.00   37.05   23.02    0.00   16.19    0.00    0.00    0.00    6.83
05:32:56 PM    3   15.87    0.00   33.58   26.20    0.00   11.81    0.00    0.00    0.00   12.55
05:32:56 PM    4   18.75    0.00   35.07   11.46    0.00   34.03    0.00    0.00    0.00    0.69
05:32:56 PM    5   25.44    0.00   40.77   14.63    0.00   18.82    0.00    0.00    0.00    0.35
05:32:56 PM    6   14.80    0.00   30.69   24.19    0.00   18.77    0.00    0.00    0.00   11.55
05:32:56 PM    7   13.48    0.00   41.84   12.77    0.00   22.70    0.00    0.00    0.00    9.22

05:32:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:32:59 PM  all   18.53    0.00   35.48   20.11    0.00   18.35    0.00    0.00    0.00    7.53
05:32:59 PM    0   20.88    0.00   30.40   27.47    0.00   13.19    0.00    0.00    0.00    8.06
05:32:59 PM    1   14.84    0.00   53.71    9.19    0.00    8.48    0.00    0.00    0.00   13.78
05:32:59 PM    2   16.06    0.00   37.96   23.72    0.00   15.33    0.00    0.00    0.00    6.93
05:32:59 PM    3   18.64    0.00   33.69   27.24    0.00    9.32    0.00    0.00    0.00   11.11
05:32:59 PM    4   20.49    0.00   33.22   10.95    0.00   34.63    0.00    0.00    0.00    0.71
05:32:59 PM    5   24.65    0.00   35.21   16.55    0.00   22.89    0.00    0.00    0.00    0.70
05:32:59 PM    6   18.25    0.00   28.10   22.63    0.00   23.72    0.00    0.00    0.00    7.30
05:32:59 PM    7   14.39    0.00   30.63   23.62    0.00   19.19    0.00    0.00    0.00   12.18

05:32:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:33:02 PM  all   17.54    0.00   35.35   21.55    0.00   17.90    0.00    0.00    0.00    7.66
05:33:02 PM    0   17.65    0.00   33.46   27.21    0.00   12.87    0.00    0.00    0.00    8.82
05:33:02 PM    1   15.00    0.00   49.64   14.29    0.00    6.43    0.00    0.00    0.00   14.64
05:33:02 PM    2   17.63    0.00   37.41   21.94    0.00   15.47    0.00    0.00    0.00    7.55
05:33:02 PM    3   14.65    0.00   36.63   27.47    0.00    9.89    0.00    0.00    0.00   11.36
05:33:02 PM    4   18.66    0.00   33.80   11.27    0.00   34.86    0.00    0.00    0.00    1.41
05:33:02 PM    5   23.84    0.00   35.23   17.44    0.00   22.06    0.00    0.00    0.00    1.42
05:33:02 PM    6   17.92    0.00   28.67   25.09    0.00   22.94    0.00    0.00    0.00    5.38
05:33:02 PM    7   14.76    0.00   27.68   28.04    0.00   18.45    0.00    0.00    0.00   11.07

05:33:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:33:05 PM  all   18.65    0.00   35.68   20.32    0.00   17.97    0.00    0.00    0.00    7.39
05:33:05 PM    0   16.73    0.00   33.09   27.64    0.00   15.64    0.00    0.00    0.00    6.91
05:33:05 PM    1   17.50    0.00   43.57   15.71    0.00    8.93    0.00    0.00    0.00   14.29
05:33:05 PM    2   16.36    0.00   42.91   17.09    0.00   16.36    0.00    0.00    0.00    7.27
05:33:05 PM    3   16.12    0.00   35.53   23.44    0.00    9.89    0.00    0.00    0.00   15.02
05:33:05 PM    4   20.00    0.00   34.04   10.88    0.00   34.04    0.00    0.00    0.00    1.05
05:33:05 PM    5   24.65    0.00   35.56   14.08    0.00   25.35    0.00    0.00    0.00    0.35
05:33:05 PM    6   19.85    0.00   31.25   25.37    0.00   18.01    0.00    0.00    0.00    5.51
