procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  0      0 126583040  37624 2809248    0    0   128   145   94  395  2  1 96  1  0 2020-02-13 11:29:58
 1  0      0 125905672  37624 2810684    0    0   113   372 4452 20910  3  3 94  0  0 2020-02-13 11:30:01
 3  0      0 125009592  37624 2816944    0    0   703   207 5877 23721  3  5 91  0  0 2020-02-13 11:30:04
 3  0      0 124349848  37624 2822860    0    0   686   226 7580 24172  6  4 89  1  0 2020-02-13 11:30:07
 7  1      0 123149264  37624 3086188    0    0 18591   211 7750 26151  4  5 89  2  0 2020-02-13 11:30:10
 1  2      0 122446280  37624 3093960    0    0 16228   338 7473 25248  3  4 91  2  0 2020-02-13 11:30:13
 3  5      0 122229264  35436 3097704    0    0 25576   166 5875 22889  5  3 89  3  0 2020-02-13 11:30:16
20  3      0 122243208  37624 3100652    0    0 21555   190 18144 75593  9  8 80  3  0 2020-02-13 11:30:19
10 109      0 121874640  37624 3107776    0    0 225837  6730 56860 173922 14 31 30 25  0 2020-02-13 11:30:22
37 40      0 121804736  37624 3109132    0    0 264585 59809 61267 155441 12 33 16 40  0 2020-02-13 11:30:25
20 37      0 121433616  37624 3374312    0    0 137090 89941 64044 128912 13 22 41 23  0 2020-02-13 11:30:28
 8 57      0 121359632  37624 3375072    0    0 151712 128223 73620 106906 10 24 29 37  0 2020-02-13 11:30:31
16 43      0 121383072  37624 3376436    0    0 93729 146317 76201 99224  9 23 33 35  0 2020-02-13 11:30:34
 3  4      0 121308512  37624 3375692    0    0 100752 196704 74201 101677 13 25 29 34  0 2020-02-13 11:30:37
21 43      0 121265936  37624 3376836    0    0 87803 141619 75592 99138  8 21 39 32  0 2020-02-13 11:30:40
 4  5      0 121423584  37624 3376488    0    0 59060 188149 76614 114166  6 21 43 30  0 2020-02-13 11:30:43
11 11      0 121412464  37624 3377012    0    0 42068 151989 67085 98396  7 19 44 31  0 2020-02-13 11:30:46
 6  4      0 121408736  37624 3376752    0    0 24956 171161 69873 113689  2 16 58 23  0 2020-02-13 11:30:49
 2  4      0 121402672  37624 3377032    0    0 32514 147317 66981 102037  4 17 53 26  0 2020-02-13 11:30:52
12  5      0 121384704  37624 3377788    0    0 18761 109567 65717 99639  3 16 59 22  0 2020-02-13 11:30:55
 9 27      0 121378032  37624 3378272    0    0 50128 170231 73186 111605  8 21 42 29  0 2020-02-13 11:30:58
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 7  4      0 121382400  37624 3378656    0    0 56487 158973 71773 109109  4 19 45 32  0 2020-02-13 11:31:01
 8 27      0 121379128  37624 3379664    0    0 51819 164111 73795 107340  4 19 45 32  0 2020-02-13 11:31:04
20  4      0 121380488  37624 3380056    0    0 38246 136774 63759 108902  7 17 52 24  0 2020-02-13 11:31:07
 5  6      0 121380864  37624 3379840    0    0 30713 138511 70388 103708  3 16 56 25  0 2020-02-13 11:31:10
 5 15      0 121378144  37624 3379760    0    0 39431 168815 69988 110918  3 16 55 26  0 2020-02-13 11:31:13
 5  6      0 121180016  37652 3379992    0    0 25053 147352 64152 99450  6 16 55 23  0 2020-02-13 11:31:16
 5 14      0 121363712  37624 3380764    0    0 60655 164869 67081 103836  4 17 49 30  0 2020-02-13 11:31:19
19 49      0 121293800  37624 3381284    0    0 89095 199103 67975 96556  5 18 44 32  0 2020-02-13 11:31:22
24 65      0 121248096  37624 3382288    0    0 117279 133846 75155 105565  6 21 34 38  0 2020-02-13 11:31:25
12 35      0 121254696  37624 3382508    0    0 96054 159510 74290 102714  9 21 33 37  0 2020-02-13 11:31:28
25 29      0 121249040  37624 3384424    0    0 85679 156916 78497 109946  5 21 35 38  0 2020-02-13 11:31:31
13 72      0 121246672  37624 3384484    0    0 74855 155282 73299 109064  5 19 42 35  0 2020-02-13 11:31:34
13 24      0 121237152  37624 3382924    0    0 68324 135870 71436 117488  9 21 41 29  0 2020-02-13 11:31:37
 5  4      0 121242872  37624 3385632    0    0 28022 139726 68689 106155  3 16 56 25  0 2020-02-13 11:31:40
 9 13      0 121244496  37624 3386128    0    0 34062 143461 66445 103993  3 15 56 27  0 2020-02-13 11:31:43
23 35      0 121198080  37624 3386656    0    0 103752 189901 75118 111817 10 24 29 37  0 2020-02-13 11:31:46
17 12      0 121244920  37624 3386856    0    0 102656 177932 78028 114158  6 21 37 36  0 2020-02-13 11:31:49
 4  8      0 121229664  37624 3386804    0    0 47300 144921 67187 101655  4 16 50 30  0 2020-02-13 11:31:52
13 17      0 121218048  37624 3387068    0    0 67693 173987 69372 103701  5 19 45 31  0 2020-02-13 11:31:55
 7 30      0 121222864  37624 3386332    0    0 72785 137910 66905 101496  8 19 45 29  0 2020-02-13 11:31:58
 7 22      0 121221096  37624 3387064    0    0 86801 164269 69187 98119  5 19 36 40  0 2020-02-13 11:32:01
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
12 21      0 121221752  37624 3387052    0    0 108437 158932 72869 100411  5 20 38 36  0 2020-02-13 11:32:04
11 34      0 121224512  37624 3387496    0    0 78383 161586 71758 99820  8 20 39 33  0 2020-02-13 11:32:07
 9  4      0 121221832  37624 3387524    0    0 60458 156085 74299 108928  4 19 44 34  0 2020-02-13 11:32:10
26 23      0 121219232  37624 3387552    0    0 44724 150249 72979 107738  4 18 51 28  0 2020-02-13 11:32:13
16  1      0 121016768  37624 3388128    0    0 49438 171434 69317 99910  8 19 45 28  0 2020-02-13 11:32:16
14 31      0 121204536  37624 3388076    0    0 34206 140706 66154 103133  3 16 57 24  0 2020-02-13 11:32:19
 7  8      0 121209080  37624 3387932    0    0 58130 160006 74393 104775  4 19 45 33  0 2020-02-13 11:32:22
18 11      0 121189464  37624 3388116    0    0 44564 121542 69722 107046  4 18 49 30  0 2020-02-13 11:32:25
 9 29      0 121204976  37624 3388060    0    0 42363 173609 70758 106036  7 19 45 29  0 2020-02-13 11:32:28
15 53      0 121192752  37624 3388088    0    0 53287 165376 68360 106282  4 18 49 29  0 2020-02-13 11:32:31
20 24      0 121189920  37624 3388100    0    0 63124 177463 65085 93054  4 17 50 29  0 2020-02-13 11:32:34
10 30      0 121181472  37624 3388100    0    0 122244 148802 70504 103500  9 22 35 33  0 2020-02-13 11:32:37
12 24      0 121185344  37624 3388412    0    0 60586 139118 69682 102882  4 17 44 35  0 2020-02-13 11:32:40
 8 10      0 121187136  37624 3388660    0    0 42311 138594 67302 98046  3 16 52 28  0 2020-02-13 11:32:43
13 16      0 121197264  37624 3388732    0    0 75648 179830 70733 99841  8 20 40 31  0 2020-02-13 11:32:46
11 30      0 121204560  37624 3389236    0    0 51848 177532 66267 94427  4 16 51 29  0 2020-02-13 11:32:49
10 22      0 121221704  37624 3389188    0    0 81176 153802 71585 101697  5 19 39 37  0 2020-02-13 11:32:52
15 15      0 121205032  37624 3389544    0    0 79258 145484 77587 112159  5 22 36 37  0 2020-02-13 11:32:55
 7 11      0 121212416  37624 3390000    0    0 40480 138130 68351 104922  7 18 49 26  0 2020-02-13 11:32:58
 9 23      0 121216128  37624 3390048    0    0 77653 193131 74317 112440  5 21 39 35  0 2020-02-13 11:33:01
21 42      0 121211656  37624 3390176    0    0 69511 149313 72751 102968  4 18 44 34  0 2020-02-13 11:33:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
10 15      0 121213072  37624 3390248    0    0 68883 164144 68601 103148  8 18 42 32  0 2020-02-13 11:33:07
 5 19      0 121212784  37624 3390256    0    0 34020 125002 55292 77083  2 11 64 22  0 2020-02-13 11:33:10
 8  8      0 121206336  37624 3390528    0    0 35143 119162 63016 93888  3 14 56 27  0 2020-02-13 11:33:13
 7 16      0 121015104  37652 3390536    0    0 51904 137925 65786 88153  7 18 47 28  0 2020-02-13 11:33:16
