Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

02/20/2020 02:26:55 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.54    0.00    2.66    6.80    0.00   89.00

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdao              0.00     0.00    0.25   47.57     0.00     0.40    16.99     2.17   45.39    7.06   45.59   2.14  10.25
dm-13             0.00     0.00    0.10   47.57     0.00     0.40    17.01     4.14   86.75    7.04   86.92   2.19  10.43
sdap              0.00     0.00    0.25   47.78     0.00     0.40    16.91     2.07   43.09    7.14   43.27   2.04   9.81
dm-14             0.00     0.00    0.10   47.78     0.00     0.40    16.94     4.01   83.77    8.78   83.93   2.12  10.16
sdaq              0.00     0.00    0.25   48.31     0.00     0.40    16.97     2.22   45.65   10.09   45.83   2.07  10.07
dm-15             0.00     0.00    0.10   48.31     0.00     0.40    17.00     4.39   90.50   10.83   90.67   2.14  10.37
sdar              0.00     0.00    0.25   47.52     0.00     0.39    16.85     2.01   42.10   10.13   42.26   2.05   9.81
dm-16             0.00     0.00    0.10   47.52     0.00     0.39    16.88     3.78   79.35   12.75   79.50   2.09   9.95
sdas              0.00     0.00    0.25   47.25     0.00     0.39    17.05     2.11   44.47    9.40   44.65   2.14  10.16
dm-17             0.00     0.00    0.10   47.25     0.00     0.39    17.07     4.11   86.69   10.51   86.85   2.18  10.30
sdat              0.00     0.00    0.25   47.00     0.00     0.39    16.97     2.15   45.53    9.05   45.72   2.15  10.14
dm-18             0.00     0.00    0.10   47.00     0.00     0.39    17.00     4.04   85.73   12.80   85.88   2.19  10.34
sdau              0.00     0.00    0.25   48.51     0.00     0.40    17.00     2.14   43.92    9.56   44.09   2.11  10.30
dm-19             0.00     0.00    0.10   48.51     0.00     0.40    17.03     4.10   84.30   11.28   84.45   2.15  10.45
sdav              0.00     0.00    0.25   48.29     0.00     0.40    17.07     2.24   46.19    9.91   46.37   2.16  10.48
dm-20             0.00     0.00    0.10   48.29     0.00     0.40    17.10     4.26   88.04   10.42   88.20   2.20  10.65
sdaw              0.00     0.00    0.25   48.08     0.00     0.40    16.91     2.16   44.78   11.41   44.95   2.09  10.11
dm-21             0.00     0.00    0.10   48.08     0.00     0.40    16.93     4.35   90.28   13.78   90.44   2.15  10.37
sdax              0.00     0.00    0.25   10.00     0.00     0.22    44.92     0.13   12.81   10.93   12.86   6.07   6.21
dm-22             0.00     0.00    0.10   10.00     0.00     0.22    45.45     0.13   13.04   15.60   13.02   6.17   6.23
sday              0.00     0.00    0.25    9.48     0.00     0.22    46.22     0.13   12.92    8.83   13.03   6.21   6.04
dm-23             0.00     0.00    0.10    9.48     0.00     0.22    46.80     0.13   13.20   13.50   13.19   6.32   6.06
sdaz              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    7.61    7.61    0.00   7.21   0.18
dm-24             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    8.83    8.83    0.00   8.82   0.09
sdba              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    6.76    6.76    0.00   6.38   0.16
dm-25             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    6.93    6.93    0.00   6.93   0.07
sdbb              0.00     0.00    0.25    9.79     0.00     0.22    44.76     0.12   12.37    8.07   12.48   6.07   6.09
dm-26             0.00     0.00    0.10    9.79     0.00     0.22    45.29     0.12   12.60    8.97   12.64   6.16   6.09
sdbc              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    7.06    7.06    4.00   6.67   0.16
