Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 08:54:25 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.86    0.00    3.88    4.92    0.00   89.34

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.04    0.00     0.00     0.00    53.27     0.00    0.22    0.22    0.00   0.16   0.00
sdd               0.00     0.00   24.53    2.38     0.10     0.00     7.81     0.02    0.81    0.50    4.01   0.78   2.11
sdc               0.01     0.10    4.18   19.93     0.19     0.29    41.08     0.29   12.00    3.36   13.81   1.86   4.49
sde               0.00     0.00 1240.08   64.82     9.64     0.53    15.97     7.06    5.41    5.31    7.21   0.21  27.62
sdg               0.00     0.00 1179.79   62.52     9.17     0.52    15.96     6.84    5.50    5.40    7.34   0.22  27.76
sdf               0.00     0.00 1273.73   69.37     9.91     0.57    15.98     6.93    5.15    5.03    7.52   0.21  27.62
sdi               0.00     0.00 1309.95   70.00    10.20     0.58    15.99     6.62    4.80    4.69    6.85   0.20  27.28
sdh               0.00     0.00 1221.45   67.17     9.49     0.55    15.97     5.57    4.32    4.19    6.75   0.20  26.17
sdj               0.00     0.00 1192.68   62.35     9.27     0.51    15.97     5.11    4.07    3.94    6.65   0.20  25.52
sdk               0.00     0.00 1250.97   66.77     9.73     0.55    15.97     5.91    4.48    4.36    6.76   0.20  26.47
sdl               0.00     0.00 1295.62   68.27    10.08     0.56    15.98     5.73    4.20    4.07    6.70   0.19  26.03
sdn               0.00     0.00 1261.20   68.33     9.80     0.56    15.95     7.48    5.62    5.53    7.33   0.21  28.09
sdp               0.00     0.00 1287.00   69.55    10.00     0.57    15.96     5.30    3.91    3.76    6.57   0.19  25.48
sdo               0.00     0.00 1202.79   60.98     9.36     0.51    16.00     4.77    3.77    3.63    6.49   0.20  25.12
sdr               0.00     0.00 1103.23   58.24     8.56     0.48    15.95     5.54    4.76    4.64    7.12   0.23  26.43
sdq               0.00     0.00 1126.79   59.78     8.76     0.49    15.97     5.47    4.61    4.48    6.92   0.22  26.42
sds               0.00     0.00 1116.04   58.35     8.67     0.49    15.97     6.72    5.72    5.63    7.40   0.24  27.82
sdv               0.00     0.00 1170.20   62.11     9.11     0.51    16.00     6.42    5.21    5.10    7.19   0.22  27.48
sdt               0.00     0.00   14.97   11.65     0.22     0.28    38.08     0.10    3.91    0.55    8.23   1.81   4.83
sdw               0.00     0.00   19.96   11.38     0.24     0.28    33.94     0.10    3.31    0.50    8.24   1.58   4.96
sdm               0.00     0.00 1198.14   64.36     9.31     0.53    15.97     6.27    4.96    4.85    7.06   0.22  27.26
sdu               0.00     0.00   15.16   11.45     0.22     0.29    39.27     0.10    3.85    0.54    8.24   1.80   4.78
sda               0.01     0.06    6.67    4.76     0.11     0.04    27.20     0.23   19.72    3.41   42.58   2.59   2.96
dm-0              0.00     0.00    4.21   20.03     0.19     0.29    40.85     0.29   12.07    3.41   13.90   1.85   4.48
sdx               0.00     0.00    0.27    0.00     0.00     0.00     8.00     0.00    0.57    0.57    0.00   0.53   0.01
dm-1              0.00     0.00    0.12    0.00     0.00     0.00     7.99     0.00    0.65    0.65    0.00   0.64   0.01
sdy               0.00     0.00    0.27   29.03     0.00     0.24    17.16     1.36   46.49    6.26   46.87   1.99   5.83
sdz               0.00     0.00    0.78    0.00     0.00     0.00     8.00     0.00    1.20    1.20    0.00   1.17   0.09
dm-2              0.00     0.00    0.12   29.03     0.00     0.24    17.21     2.38   81.58    5.60   81.88   2.02   5.89
dm-3              0.00     0.00    0.62    0.00     0.00     0.00     7.99     0.00    1.18    1.18    0.00   1.17   0.07
sdaa              0.00     0.00    0.27   32.55     0.00     0.27    16.77     1.41   42.96    4.54   43.28   1.77   5.81
dm-4              0.00     0.00    0.12   32.55     0.00     0.27    16.81     2.67   81.87    2.69   82.15   1.80   5.88
sdab              0.00     0.00    2.55    0.97     0.00     0.00     2.71     0.01    1.80    0.81    4.39   1.75   0.62
dm-5              0.00     0.00    2.39    0.97     0.00     0.00     2.47     0.01    1.94    0.90    4.50   1.89   0.63
sdac              0.00     0.00    0.27    0.00     0.00     0.00     8.00     0.00    1.22    1.22    0.00   1.17   0.03
dm-6              0.00     0.00    0.12    0.00     0.00     0.00     7.99     0.00    1.00    1.00    0.00   0.99   0.01
sdad              0.00     0.00    2.56    0.97     0.01     0.00     3.77     0.01    2.92    1.84    5.77   2.88   1.02
dm-7              0.00     0.00    2.40    0.97     0.01     0.00     3.57     0.01    3.08    1.95    5.88   3.03   1.02
sdae              0.00     0.00    0.27   28.95     0.00     0.24    16.77     1.37   46.81    4.63   47.21   1.99   5.81
dm-8              0.00     0.00    0.12   28.95     0.00     0.24    16.82     2.47   85.08    4.00   85.40   2.03   5.90
sdaf              0.00     0.00    0.27   33.21     0.00     0.27    16.79     1.62   48.46    6.22   48.81   1.85   6.18
dm-9              0.00     0.00    0.12   33.21     0.00     0.27    16.83     3.13   93.79    3.19   94.10   1.88   6.28
sdag              0.00     0.00    0.27   34.65     0.00     0.28    16.74     1.58   45.13    7.47   45.43   1.74   6.07
dm-10             0.00     0.00    0.12   34.65     0.00     0.28    16.78     2.98   85.65    4.12   85.92   1.78   6.18
sdah              0.00     0.00    0.27   29.83     0.00     0.25    16.96     1.41   46.81    5.09   47.19   1.98   5.97
dm-11             0.00     0.00    0.12   29.83     0.00     0.25    17.01     2.52   83.99    4.14   84.30   2.03   6.08
sdai              0.00     0.00    0.27   27.26     0.00     0.23    16.87     1.28   46.54    3.80   46.96   2.04   5.60
dm-12             0.00     0.00    0.12   27.26     0.00     0.23    16.92     2.21   80.60    3.17   80.93   2.07   5.67
sdaj              0.00     0.00    0.27   31.89     0.00     0.27    16.95     1.36   42.24    4.65   42.56   1.77   5.69
dm-13             0.00     0.00    0.12   31.89     0.00     0.27    16.99     2.53   78.86    3.39   79.14   1.80   5.78
sdak              0.00     0.00    0.27   37.07     0.00     0.30    16.66     1.63   43.68    7.82   43.95   1.66   6.20
dm-14             0.00     0.00    0.12   37.07     0.00     0.30    16.69     3.21   86.25    5.97   86.50   1.69   6.27
sdal              0.00     0.00    0.27   33.04     0.00     0.27    16.70     1.30   39.00    4.29   39.29   1.60   5.34
dm-15             0.00     0.00    0.12   33.04     0.00     0.27    16.74     2.32   70.03    3.61   70.27   1.63   5.39
sdam              0.00     0.00    0.27   32.92     0.00     0.27    16.70     1.46   44.11    5.27   44.43   1.78   5.90
dm-16             0.00     0.00    0.12   32.92     0.00     0.27    16.75     2.78   84.04    6.17   84.31   1.80   5.96
sdan              0.00     0.00    0.27   35.32     0.00     0.29    16.73     1.37   38.42    3.67   38.69   1.55   5.53
