procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 5  3      0 126506832  35592 2884096    0    0   198   175  125  442  2  2 95  1  0 2020-02-12 12:12:44
 1  0      0 125668336  37624 2886376    0    0   779   235 5189 24453  3  4 92  1  0 2020-02-12 12:12:47
 1  0      0 125515184  37624 2888540    0    0  7285   256 4129 22234  4  3 92  2  0 2020-02-12 12:12:50
 3  0      0 125326368  37624 2890208    0    0   271   145 2319 18104  4  3 92  0  0 2020-02-12 12:12:53
 7 11      0 125294320  37624 2893256    0    0 81486 11516 34051 75312  6 14 60 21  0 2020-02-12 12:12:56
11 22      0 125116544  37624 2894124    0    0 139076 18780 41950 65671  8 16 41 35  0 2020-02-12 12:12:59
10 26      0 125259272  37624 2894984    0    0 119526 21908 39823 62524  6 14 46 33  0 2020-02-12 12:13:02
 4 17      0 125257136  37624 2894776    0    0 153383 11488 38112 58953  7 12 52 28  0 2020-02-12 12:13:05
13  1      0 125246096  37624 2894916    0    0 193193 10955 34447 55881  5  9 72 13  0 2020-02-12 12:13:08
 3  3      0 125232336  37624 2895708    0    0 213040  1098 35854 59360  8 11 72  9  0 2020-02-12 12:13:11
 9  3      0 125223568  37624 2896160    0    0 245706 12119 37279 58188  4 11 79  7  0 2020-02-12 12:13:14
 9 17      0 125217408  37624 2896212    0    0 359815  6559 52740 83396  6 19 49 26  0 2020-02-12 12:13:17
15  6      0 125219088  37624 2896232    0    0 178843 37587 50645 70504  8 16 51 24  0 2020-02-12 12:13:20
 4 12      0 125203712  37624 2895744    0    0 54087 63305 41893 57081  2  9 71 18  0 2020-02-12 12:13:23
 1  5      0 125196736  37624 2896844    0    0 36290 86272 43239 60579  2 10 71 17  0 2020-02-12 12:13:26
 6  3      0 125002472  37624 2897008    0    0 27187 55017 37303 49798  5  9 72 14  0 2020-02-12 12:13:29
 6  7      0 125173168  37624 2899116    0    0 72715 41984 45405 60812  5 13 55 28  0 2020-02-12 12:13:32
 5 22      0 125173744  37624 2900264    0    0 83837 97788 48874 64216  4 13 55 28  0 2020-02-12 12:13:35
 7 11      0 125157304  37624 2901692    0    0 149243 142520 57812 75541  5 16 47 31  0 2020-02-12 12:13:38
 7 11      0 125161616  37624 2902520    0    0 134820 120722 55860 72524  8 16 53 23  0 2020-02-12 12:13:41
17  6      0 125154800  37624 2903488    0    0 158058 102377 51745 69085  3 13 68 15  0 2020-02-12 12:13:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  5      0 125151872  37624 2904616    0    0 125279 85281 45926 67927  3 11 75 11  0 2020-02-12 12:13:47
 7 12      0 125089848  37104 2903732    0    0 124210 52508 41919 63996  7 12 69 12  0 2020-02-12 12:13:50
 2  5      0 125124528  37624 2907428    0    0 139231 27844 36678 56612  3  9 75 13  0 2020-02-12 12:13:53
 8  5      0 125127896  37624 2907464    0    0 151277 26056 40746 58690  4 10 71 15  0 2020-02-12 12:13:56
18 14      0 124971920  37624 2907684    0    0 156972 34352 48543 64147  6 13 61 20  0 2020-02-12 12:13:59
 4  8      0 125132096  37624 2908684    0    0 116288 41903 48837 64893  5 12 61 22  0 2020-02-12 12:14:02
 9  8      0 125095912  37624 2908276    0    0 77917 75479 47420 64693  4 11 63 22  0 2020-02-12 12:14:05
 9 11      0 125091456  37624 2908132    0    0 60540 60773 42013 57004  2  9 72 17  0 2020-02-12 12:14:08
 3 16      0 125068976  37624 2907872    0    0 78308 57238 44895 64641  7 12 57 25  0 2020-02-12 12:14:11
 3 16      0 125059392  37624 2908496    0    0 87652 53199 44559 59860  4 10 60 25  0 2020-02-12 12:14:14
 8 41      0 125058352  37624 2909500    0    0 138383 128305 56697 74784  4 14 54 28  0 2020-02-12 12:14:17
13 24      0 125051344  37624 2909508    0    0 222872 163022 58859 87649  9 20 34 37  0 2020-02-12 12:14:20
 0  1      0 125038288  37624 2909536    0    0 192868 91805 53457 77575  4 15 55 26  0 2020-02-12 12:14:23
 2 10      0 125039984  37624 2909760    0    0 92087 74099 43520 63125  2 10 75 13  0 2020-02-12 12:14:26
 5  8      0 124835568  37624 2910104    0    0 120214 57090 43006 63002  5 11 68 15  0 2020-02-12 12:14:29
 0  0      0 125020136  37624 2910264    0    0 112144 53950 44035 64660  3 11 69 16  0 2020-02-12 12:14:32
 9 14      0 125024368  37624 2910180    0    0 95565 42129 38713 53834  2  9 75 13  0 2020-02-12 12:14:35
12 13      0 125026944  37624 2910196    0    0 143487 42615 48428 65035  3 11 65 20  0 2020-02-12 12:14:38
 5 18      0 125018304  37184 2905544    0    0 130566 65154 55515 74650  7 15 52 26  0 2020-02-12 12:14:41
 1  2      0 125019744  37624 2910344    0    0 109440 74634 46704 65202  3 11 66 20  0 2020-02-12 12:14:44
 6 12      0 125032552  37624 2910356    0    0 81041 77274 46892 64033  3 10 67 20  0 2020-02-12 12:14:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 4  9      0 125035648  37624 2910508    0    0 109806 75247 49950 66707  7 13 57 23  0 2020-02-12 12:14:50
 4  7      0 125031544  37624 2910784    0    0 130484 106328 50608 67814  4 12 61 23  0 2020-02-12 12:14:53
 5  6      0 125035848  37624 2910776    0    0 155381 117561 52407 73373  4 13 55 29  0 2020-02-12 12:14:56
20 15      0 124854224  37624 2911068    0    0 145919 90545 52753 71585  7 15 56 23  0 2020-02-12 12:14:59
12 11      0 124893024  37624 2913056    0    0 150337 72016 55994 84921  9 16 50 25  0 2020-02-12 12:15:02
 7 18      0 124870040  37624 2914572    0    0 103661 81012 52313 75049  7 14 57 21  0 2020-02-12 12:15:05
13 17      0 124824888  37624 2914560    0    0 127532 68123 49791 73003  6 13 61 21  0 2020-02-12 12:15:08
 7  5      0 124856864  37624 2914512    0    0 109959 65868 50077 72697 10 14 56 21  0 2020-02-12 12:15:11
 9  8      0 124985536  37624 2917604    0    0 133569 52303 50600 70605  8 13 58 20  0 2020-02-12 12:15:14
 4  9      0 125028560  37624 2918500    0    0 112215 59500 45450 63215  3 11 65 20  0 2020-02-12 12:15:17
 5  9      0 125017000  37576 2916580    0    0 160672 68166 51482 72061  7 15 57 21  0 2020-02-12 12:15:20
 8  9      0 125014080  37624 2918988    0    0 149143 99421 51813 73681  4 13 60 23  0 2020-02-12 12:15:23
13 10      0 125014576  37624 2919088    0    0 130807 81824 45119 67177  3 11 64 21  0 2020-02-12 12:15:26
13 16      0 124836160  37624 2919420    0    0 96903 84917 45124 62880  5 12 63 19  0 2020-02-12 12:15:29
 6  9      0 125012016  37624 2919328    0    0 143918 85707 50439 71592  4 13 56 26  0 2020-02-12 12:15:32
 5 16      0 125011680  37624 2919200    0    0 157491 66288 49087 69171  4 12 58 26  0 2020-02-12 12:15:35
 7 14      0 125016928  37624 2916928    0    0 93824 69385 45775 60867  3 10 72 15  0 2020-02-12 12:15:38
 6  8      0 125005184  37624 2918920    0    0 127857 73088 51207 73529  7 14 52 26  0 2020-02-12 12:15:41
 6  6      0 125012368  37624 2919196    0    0 80330 75708 43799 61371  2 10 69 19  0 2020-02-12 12:15:44
12 12      0 125011408  37624 2919388    0    0 109583 80685 44679 64387  3 10 68 19  0 2020-02-12 12:15:47
11 15      0 124995040  37624 2919816    0    0 132595 65817 45785 66613  9 14 55 22  0 2020-02-12 12:15:50
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6 11      0 124990064  37624 2919552    0    0 178388 85652 54689 79972  4 15 53 27  0 2020-02-12 12:15:53
 9 15      0 124994240  37624 2919700    0    0 188230 84591 52759 76846  4 14 56 26  0 2020-02-12 12:15:56
12  9      0 124828160  37624 2920088    0    0 127175 72336 51665 69435  6 13 57 24  0 2020-02-12 12:15:59
 5  6      0 124990200  37624 2919996    0    0 133016 68766 48453 70220  4 12 61 22  0 2020-02-12 12:16:02
 6  7      0 124980072  37624 2920012    0    0 100476 82316 48140 70107  3 12 65 20  0 2020-02-12 12:16:05
 2 22      0 124989408  37624 2920068    0    0 113969 58387 44158 63860  3 10 66 20  0 2020-02-12 12:16:08
 3 11      0 124992272  37624 2920224    0    0 140051 85155 50650 71049  7 14 55 24  0 2020-02-12 12:16:11
 1 15      0 124991872  37624 2920244    0    0 129575 73079 46076 64796  3 11 64 22  0 2020-02-12 12:16:14
 3 11      0 124987440  37624 2920268    0    0 131900 77411 47198 66910  3 11 65 21  0 2020-02-12 12:16:17
 5  4      0 124979112  37624 2917004    0    0 102370 74031 49796 70036  7 13 59 21  0 2020-02-12 12:16:20
 8 16      0 124980408  37624 2920272    0    0 128039 96071 49637 71878  3 12 63 22  0 2020-02-12 12:16:23
 2  4      0 124986512  37624 2920356    0    0 139469 78189 47710 68735  4 12 60 25  0 2020-02-12 12:16:26
