Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/08/2020 	_x86_64_	(8 CPU)

02:20:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:25 PM  all   11.59    0.00   20.98   41.15    0.00   10.56    0.00    0.00    0.00   15.72
02:20:25 PM    0   12.41    0.00   20.07   46.35    0.00    5.47    0.00    0.00    0.00   15.69
02:20:25 PM    1    9.42    0.00   22.46   40.94    0.00    5.07    0.00    0.00    0.00   22.10
02:20:25 PM    2   10.74    0.00   18.89   49.26    0.00    8.89    0.00    0.00    0.00   12.22
02:20:25 PM    3   10.87    0.00   19.57   47.46    0.00    5.43    0.00    0.00    0.00   16.67
02:20:25 PM    4   13.62    0.00   15.77   43.73    0.00   19.71    0.00    0.00    0.00    7.17
02:20:25 PM    5   13.78    0.00   19.79   40.64    0.00   16.96    0.00    0.00    0.00    8.83
02:20:25 PM    6   11.11    0.00   22.58   40.86    0.00   12.19    0.00    0.00    0.00   13.26
02:20:25 PM    7   10.49    0.00   29.02   20.98    0.00    9.79    0.00    0.00    0.00   29.72

02:20:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:28 PM  all   10.62    0.00   20.28   43.92    0.00    9.71    0.00    0.00    0.00   15.47
02:20:28 PM    0   12.32    0.00   21.38   49.28    0.00    5.07    0.00    0.00    0.00   11.96
02:20:28 PM    1    8.70    0.00   23.91   38.41    0.00    4.71    0.00    0.00    0.00   24.28
02:20:28 PM    2   11.07    0.00   26.20   40.96    0.00    9.96    0.00    0.00    0.00   11.81
02:20:28 PM    3   10.43    0.00   23.74   30.94    0.00    3.60    0.00    0.00    0.00   31.29
02:20:28 PM    4   10.75    0.00   16.49   44.44    0.00   22.58    0.00    0.00    0.00    5.73
02:20:28 PM    5   12.06    0.00   19.86   44.68    0.00   14.89    0.00    0.00    0.00    8.51
02:20:28 PM    6   10.78    0.00   14.87   50.93    0.00   11.52    0.00    0.00    0.00   11.90
02:20:28 PM    7    9.03    0.00   15.88   50.90    0.00    6.14    0.00    0.00    0.00   18.05

02:20:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:31 PM  all   11.08    0.00   19.50   44.32    0.00    9.82    0.00    0.00    0.00   15.27
02:20:31 PM    0   12.77    0.00   19.71   47.81    0.00    4.74    0.00    0.00    0.00   14.96
02:20:31 PM    1   10.28    0.00   22.70   41.84    0.00    4.26    0.00    0.00    0.00   20.92
02:20:31 PM    2   11.32    0.00   16.60   51.70    0.00   10.57    0.00    0.00    0.00    9.81
02:20:31 PM    3   10.51    0.00   15.94   45.65    0.00    5.43    0.00    0.00    0.00   22.46
02:20:31 PM    4   11.15    0.00   15.11   48.20    0.00   19.42    0.00    0.00    0.00    6.12
02:20:31 PM    5   11.27    0.00   19.72   42.25    0.00   16.90    0.00    0.00    0.00    9.86
02:20:31 PM    6   11.47    0.00   22.94   37.63    0.00   10.75    0.00    0.00    0.00   17.20
02:20:31 PM    7   10.28    0.00   22.70   40.43    0.00    6.38    0.00    0.00    0.00   20.21

02:20:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:34 PM  all   10.53    0.00   19.05   48.77    0.00   10.80    0.00    0.00    0.00   10.85
02:20:34 PM    0   11.47    0.00   21.15   53.76    0.00    7.17    0.00    0.00    0.00    6.45
02:20:34 PM    1    9.29    0.00   21.43   45.00    0.00    5.71    0.00    0.00    0.00   18.57
02:20:34 PM    2    9.85    0.00   18.61   46.72    0.00   17.15    0.00    0.00    0.00    7.66
02:20:34 PM    3   10.83    0.00   20.22   49.46    0.00    3.61    0.00    0.00    0.00   15.88
02:20:34 PM    4   10.79    0.00   17.63   41.73    0.00   21.58    0.00    0.00    0.00    8.27
02:20:34 PM    5   10.49    0.00   18.53   47.20    0.00   17.48    0.00    0.00    0.00    6.29
02:20:34 PM    6   10.55    0.00   16.36   55.27    0.00    9.09    0.00    0.00    0.00    8.73
02:20:34 PM    7   10.68    0.00   18.15   51.60    0.00    4.27    0.00    0.00    0.00   15.30

02:20:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:37 PM  all   11.23    0.00   19.77   43.78    0.00   11.31    0.00    0.00    0.00   13.91
02:20:37 PM    0   12.00    0.00   19.27   46.18    0.00    7.27    0.00    0.00    0.00   15.27
02:20:37 PM    1    9.61    0.00   23.49   39.86    0.00    6.41    0.00    0.00    0.00   20.64
02:20:37 PM    2    8.79    0.00   19.78   38.46    0.00   20.51    0.00    0.00    0.00   12.45
02:20:37 PM    3   11.83    0.00   19.35   48.03    0.00    5.02    0.00    0.00    0.00   15.77
02:20:37 PM    4   11.93    0.00   19.65   42.46    0.00   18.60    0.00    0.00    0.00    7.37
02:20:37 PM    5   11.83    0.00   18.64   44.44    0.00   17.56    0.00    0.00    0.00    7.53
02:20:37 PM    6   11.83    0.00   18.28   46.95    0.00   11.47    0.00    0.00    0.00   11.47
02:20:37 PM    7   11.70    0.00   19.86   43.62    0.00    3.90    0.00    0.00    0.00   20.92

02:20:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:20:40 PM  all   12.17    0.00   19.71   45.43    0.00   11.23    0.00    0.00    0.00   11.46
02:20:40 PM    0   15.30    0.00   22.42   46.98    0.00    6.41    0.00    0.00    0.00    8.90
02:20:40 PM    1   11.74    0.00   21.00   43.77    0.00    6.41    0.00    0.00    0.00   17.08
02:20:40 PM    2   10.62    0.00   15.75   41.03    0.00   19.05    0.00    0.00    0.00   13.55
02:20:40 PM    3   13.83    0.00   20.92   44.68    0.00    5.32    0.00    0.00    0.00   15.25
02:20:40 PM    4   12.41    0.00   17.02   48.23    0.00   18.44    0.00    0.00    0.00    3.90
