Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 09:07:02 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.41    0.00    7.61   16.11    0.00   72.87

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.07     0.07    3.85   19.16     0.17     0.25    37.70     0.26   11.09    3.99   12.52   1.70   3.92
sdb               0.00     0.00    0.03    0.00     0.00     0.00    56.15     0.00    0.16    0.16    0.00   0.15   0.00
sde               0.00     0.00   15.39   43.47     0.40     0.50    31.32     0.29    4.89    0.21    6.55   2.29  13.48
sdd               0.00     0.00   35.50    2.36     0.14     0.00     7.80     0.01    0.34    0.15    3.29   0.33   1.27
sdf               0.00     0.00   15.45   42.33     0.42     0.51    32.97     0.31    5.29    0.21    7.14   2.36  13.62
sdg               0.00     0.00   32.17   43.16     0.50     0.51    27.60     0.31    4.06    0.16    6.96   1.89  14.25
sdh               0.00     0.00   17.54    0.32     0.08     0.00     9.24     0.04    2.37    2.35    3.24   2.32   4.15
sdi               0.00     0.00   17.59    0.32     0.08     0.00     9.24     0.04    2.44    2.42    3.20   2.26   4.06
sdj               0.00     0.00 5897.52 1762.76    47.19    14.49    16.49    48.84    6.37    6.47    6.06   0.07  49.94
sdk               0.00     0.00   17.53    0.00     0.08     0.00     9.27     0.04    2.20    2.20    4.20   2.14   3.74
sdl               0.00     0.00   14.24    0.00     0.06     0.00     8.05     0.03    2.19    2.19    5.67   2.15   3.05
sdq               0.00     0.00   14.30    0.00     0.06     0.00     8.05     0.03    2.20    2.20    7.33   2.15   3.08
sdp               0.00     0.00   14.24    0.00     0.06     0.00     8.05     0.03    2.18    2.18    4.67   2.13   3.04
sdo               0.00     0.00   14.24    0.00     0.06     0.00     8.05     0.03    2.20    2.20    5.00   2.15   3.07
sdn               0.00     0.00   14.24    0.00     0.06     0.00     8.05     0.03    2.23    2.23    5.60   2.19   3.12
sdm               0.00     0.00   14.29    0.32     0.06     0.00     8.05     0.03    2.39    2.37    3.22   2.34   3.42
sdr               0.00     0.00   14.24    0.00     0.06     0.00     8.05     0.03    2.22    2.22    4.20   2.17   3.09
sda               0.01     0.05    6.15    6.68     0.10     0.06    25.63     0.23   18.04    4.06   30.92   2.74   3.52
dm-0              0.00     0.00    3.99   19.24     0.17     0.25    37.35     0.26   11.20    3.84   12.73   1.65   3.84
sds               0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    1.10    1.10    0.00   1.03   0.03
sdt               0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    8.60    8.60    6.00   8.11   0.20
dm-1              0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    1.22    1.22    0.00   1.22   0.01
dm-2              0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    7.94    7.95    6.00   7.93   0.08
sdu               0.00     0.00    0.75    0.00     0.00     0.00     8.00     0.00    1.10    1.10    0.00   1.07   0.08
dm-3              0.00     0.00    0.60    0.00     0.00     0.00     8.00     0.00    1.18    1.18    0.00   1.15   0.07
sdv               0.00     0.00    2.48    0.98     0.00     0.00     2.60     0.01    2.02    1.15    4.22   2.00   0.69
dm-4              0.00     0.00    2.34    0.98     0.00     0.00     2.36     0.01    2.19    1.29    4.36   2.17   0.72
sdw               0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    1.31    1.31    0.00   1.22   0.03
dm-5              0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    1.17    1.17    0.00   1.17   0.01
sdx               0.00     0.00    0.30    0.00     0.00     0.00     6.73     0.00    6.01    6.01    4.00   5.54   0.17
dm-6              0.00     0.00    0.16    0.00     0.00     0.00     5.55     0.00    5.12    5.12    4.00   5.12   0.08
sdy               0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    4.04    4.04    0.00   3.46   0.09
dm-7              0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    4.90    4.90    0.00   4.89   0.05
sdz               0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    3.44    3.44    0.00   2.90   0.07
dm-8              0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    3.71    3.71    0.00   3.70   0.04
sdaa              0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    3.67    3.67    0.00   3.14   0.08
dm-9              0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    4.06    4.06    0.00   4.05   0.04
sdab              0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    3.62    3.62    0.00   3.09   0.08
dm-10             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    4.01    4.01    0.00   3.98   0.04
sdac              0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    3.44    3.44    0.00   2.91   0.07
dm-11             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    3.58    3.58    0.00   3.57   0.04
sdad              0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    3.54    3.54    0.00   2.97   0.07
dm-12             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    3.70    3.70    0.00   3.69   0.04
sdae              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    5.38    5.38    3.00   4.87   0.12
dm-13             0.00     0.00    0.10    0.00     0.00     0.00     8.00     0.00    5.08    5.08    4.00   5.07   0.05
sdaf              0.00     0.00    0.27  867.54     0.00     7.14    16.86    11.91   13.73    7.62   13.73   0.32  27.59
dm-14             0.00     0.00    0.12  867.54     0.00     7.14    16.86    27.62   31.82    8.25   31.83   0.32  27.72
sdag              0.00     0.00    2.49    0.98     0.01     0.00     3.45     0.01    1.78    0.98    3.82   1.76   0.61
dm-15             0.00     0.00    2.34    0.98     0.00     0.00     3.25     0.01    2.00    1.18    3.97   1.96   0.65
sdah              0.00     0.00    0.25   21.69     0.00     0.25    23.45     0.15    6.68    0.96    6.75   3.31   7.27
dm-16             0.00     0.00    0.10   21.69     0.00     0.25    23.55     0.15    6.96    1.20    6.99   3.39   7.40
sdai              0.00     0.00    0.25   22.25     0.00     0.26    23.35     0.15    6.61    1.09    6.67   3.30   7.43
dm-17             0.00     0.00    0.10   22.25     0.00     0.26    23.45     0.15    6.89    1.23    6.92   3.38   7.56
sdaj              0.00     0.00    0.25    0.00     0.00     0.00     7.99     0.00    3.34    3.34    0.00   2.80   0.07
dm-18             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    3.49    3.49    0.00   3.48   0.04
sdak              0.00     0.00    0.25   21.58     0.00     0.25    23.28     0.15    6.70    0.95    6.77   3.30   7.21
dm-19             0.00     0.00    0.10   21.58     0.00     0.25    23.39     0.15    7.00    1.03    7.03   3.39   7.35

02/12/2020 09:07:05 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.12    0.00    5.95    1.81    0.00   86.12

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.00    0.00   30.00     0.00     0.25    16.89     0.53   17.68    0.00   17.68   1.57   4.70
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.07    0.07    0.00   0.07   0.60
sdd               0.00     0.00  190.00    2.33     0.80     0.00     8.53     0.02    0.12    0.09    3.14   0.12   2.37
sdf               0.00     0.00   87.67    8.67     0.34     0.01     7.53     0.04    0.46    0.08    4.35   0.34   3.23
sdg               0.00     0.00  186.00   14.33     0.80     0.03     8.47     0.08    0.38    0.09    4.21   0.29   5.87
sdh               0.00     0.00   65.33    0.33     0.33     0.00    10.19     0.15    2.29    2.29    3.00   2.27  14.90
sdi               0.00     0.00   85.00    0.33     0.40     0.00     9.69     0.20    2.36    2.36    2.00   2.11  17.97
sdj               0.00     0.00   64.67   42.67     0.37     0.34    13.42     0.30    2.76    2.61    2.98   1.77  19.03
sdk               0.00     0.00   63.00    0.00     0.32     0.00    10.29     0.14    2.29    2.29    0.00   2.29  14.43
sdl               0.00     0.00   54.00    0.00     0.21     0.00     8.00     0.11    2.07    2.07    0.00   2.07  11.20
sdq               0.00     0.00   54.00    0.00     0.21     0.00     8.00     0.11    2.09    2.09    0.00   2.10  11.33
sdp               0.00     0.00   53.00    0.00     0.21     0.00     8.00     0.11    2.12    2.12    0.00   2.13  11.27
sdo               0.00     0.00   53.33    0.00     0.21     0.00     8.00     0.11    2.12    2.12    0.00   2.13  11.37
sdn               0.00     0.00   51.33    0.00     0.20     0.00     8.00     0.11    2.19    2.19    0.00   2.19  11.23
sdm               0.00     0.00   50.00    0.33     0.20     0.00     8.00     0.12    2.41    2.40    4.00   2.41  12.13
sdr               0.00     0.00   55.00    0.00     0.21     0.00     8.00     0.11    2.07    2.07    0.00   2.07  11.40
sda               0.00     0.00    0.00    3.00     0.00     0.02    14.22     0.01    3.00    0.00    3.00   2.33   0.70
dm-0              0.00     0.00    0.00   30.00     0.00     0.25    16.89     0.53   17.70    0.00   17.70   1.59   4.77
sds               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    1.50    1.50    0.00   1.50   0.10
sdt               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.01   13.00   13.00    0.00  13.00   0.87
dm-1              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    2.00    2.00    0.00   2.00   0.07
dm-2              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdu               0.00     0.00    4.00    0.00     0.02     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.40
dm-3              0.00     0.00    3.67    0.00     0.01     0.00     8.00     0.00    0.91    0.91    0.00   0.91   0.33
sdv               0.00     0.00    2.67    1.00     0.00     0.00     2.27     0.01    2.09    1.12    4.67   1.73   0.63
dm-4              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    2.10    1.00    4.67   1.70   0.57
sdw               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.07
dm-5              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdx               0.00     0.00    1.00    0.00     0.00     0.00     5.67     0.00    2.33    2.33    0.00   2.33   0.23
dm-6              0.00     0.00    0.67    0.00     0.00     0.00     4.50     0.00    2.00    2.00    0.00   2.00   0.13
sdy               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    2.50    2.50    0.00   2.50   0.17
dm-7              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdz               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.20
dm-8              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdaa              0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.20
dm-9              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdab              0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.20
dm-10             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdac              0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    2.50    2.50    0.00   2.50   0.17
dm-11             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdad              0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.20
dm-12             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdae              0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.20
dm-13             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdaf              0.00     0.00    0.67   42.00     0.00     0.33    16.00     0.14    3.29    3.00    3.29   1.27   5.40
dm-14             0.00     0.00    0.33   42.00     0.00     0.33    16.06     0.14    3.38    3.00    3.38   1.27   5.37
