Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

02/10/2020 08:32:26 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           9.97    0.00   13.05   13.74    0.00   63.24

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdaj              0.00     0.00    0.24    0.00     0.00     0.00     8.00     0.00    3.32    3.32    0.00   2.85   0.07
dm-18             0.00     0.00    0.10    0.00     0.00     0.00     7.99     0.00    3.23    3.23    0.00   3.22   0.03
sdak              0.00     0.00    0.24   19.72     0.00     0.07     6.88     0.08    4.04    0.95    4.08   2.93   5.84
dm-19             0.00     0.00    0.10   19.72     0.00     0.07     6.87     0.08    4.19    1.09    4.21   2.99   5.93

02/10/2020 08:32:29 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.14    0.00    7.45    0.26    0.00   86.14

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdg               0.00     0.00    0.00    5.67     0.00     0.01     2.24     0.02    4.06    0.00    4.06   3.41   1.93
sdc               0.00     0.00    0.00   28.33     0.00     0.18    13.08     0.38   13.46    0.00   13.46   1.25   3.53
sdq               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    7.00     0.00     0.02     5.19     0.03    4.57    0.00    4.57   3.48   2.43
sdh               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    4.67    1.00     0.07     0.01    30.59     0.00    0.71    0.14    3.33   0.71   0.40
sdr               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdo               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdm               0.00     0.00    0.00    0.33     0.00     0.00     8.00     0.00    3.00    0.00    3.00   3.00   0.10
sdd               0.00     0.00    2.33    1.33     0.00     0.00     2.27     0.01    1.55    0.43    3.50   1.55   0.57
sdi               0.00     0.00    0.00    0.33     0.00     0.00     8.00     0.00    3.00    0.00    3.00   3.00   0.10
sdp               0.00     0.00    0.00    0.33     0.00     0.00     8.00     0.00    3.00    0.00    3.00   3.00   0.10
sdj               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdk               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdn               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdl               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sda               0.00     0.00    0.00    3.00     0.00     0.01     9.78     0.01    4.78    0.00    4.78   2.78   0.83
dm-0              0.00     0.00    0.00   28.33     0.00     0.18    13.08     0.38   13.47    0.00   13.47   1.25   3.53
sds               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
