Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 09:08:45 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.35    0.00    4.82    6.48    0.00   86.34

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.03    0.00     0.00     0.00    53.27     0.00    0.22    0.22    0.00   0.16   0.00
sdd               0.00     0.00   24.39    2.37     0.10     0.00     7.74     0.02    0.79    0.48    3.95   0.76   2.05
sdc               0.01     0.09    3.52   19.80     0.16     0.27    37.81     0.31   13.10    3.37   14.83   1.85   4.32
sde               0.00     0.00 1330.79   54.82    10.35     0.45    15.96     6.25    4.51    4.40    7.20   0.21  28.77
sdg               0.00     0.00 1259.74   52.84     9.79     0.44    15.96     6.04    4.60    4.49    7.34   0.22  28.87
sdf               0.00     0.00 1354.69   58.69    10.54     0.48    15.97     6.13    4.34    4.20    7.51   0.20  28.78
sdi               0.00     0.00 1390.65   59.27    10.83     0.49    15.99     5.88    4.06    3.94    6.84   0.20  28.51
sdh               0.00     0.00 1323.55   56.83    10.29     0.47    15.96     5.02    3.63    3.50    6.74   0.20  27.56
sdj               0.00     0.00 1279.97   52.70     9.95     0.44    15.96     4.61    3.46    3.32    6.65   0.20  27.00
sdk               0.00     0.00 1352.56   56.41    10.52     0.47    15.96     5.31    3.77    3.64    6.76   0.20  27.80
sdl               0.00     0.00 1391.90   57.73    10.83     0.48    15.97     5.16    3.56    3.43    6.69   0.19  27.45
sdn               0.00     0.00 1345.08   57.75    10.45     0.47    15.95     6.60    4.70    4.59    7.32   0.21  29.17
sdp               0.00     0.00 1373.03   58.79    10.67     0.48    15.96     4.78    3.34    3.20    6.56   0.19  26.97
sdo               0.00     0.00 1330.54   51.61    10.36     0.43    15.99     4.38    3.17    3.04    6.48   0.19  26.69
sdr               0.00     0.00 1184.32   49.24     9.20     0.41    15.95     4.94    4.00    3.87    7.11   0.22  27.75
sdq               0.00     0.00 1202.86   50.52     9.35     0.42    15.96     4.87    3.89    3.76    6.92   0.22  27.74
sds               0.00     0.00 1214.50   49.34     9.44     0.41    15.96     5.96    4.71    4.61    7.39   0.23  28.94
sdv               0.00     0.00 1260.88   52.52     9.82     0.43    15.99     5.71    4.34    4.22    7.18   0.22  28.64
sdt               0.00     0.00   14.89    9.94     0.22     0.23    36.97     0.09    3.60    0.54    8.17   1.70   4.23
sdw               0.00     0.00   19.90    9.67     0.24     0.23    32.76     0.09    3.01    0.49    8.19   1.46   4.32
sdm               0.00     0.00 1289.79   54.45    10.03     0.45    15.96     5.59    4.15    4.03    7.05   0.21  28.48
sdu               0.00     0.00   15.08    9.91     0.22     0.25    37.98     0.09    3.54    0.53    8.13   1.70   4.24
sda               0.01     0.06    5.61    4.63     0.09     0.04    26.92     0.22   21.80    3.41   44.08   2.67   2.73
dm-0              0.00     0.00    3.54   19.89     0.16     0.27    37.62     0.31   13.16    3.41   14.90   1.84   4.32
sdx               0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    0.57    0.57    0.00   0.54   0.01
dm-1              0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    0.67    0.67    0.00   0.66   0.01
sdy               0.00     0.00    0.25   24.54     0.00     0.21    17.18     1.15   46.25    5.96   46.66   2.02   5.00
sdz               0.00     0.00    0.76    0.00     0.00     0.00     8.00     0.00    1.11    1.11    0.00   1.09   0.08
dm-2              0.00     0.00    0.11   24.54     0.00     0.21    17.24     2.00   81.16    5.53   81.48   2.05   5.05
dm-3              0.00     0.00    0.61    0.00     0.00     0.00     8.00     0.00    1.11    1.11    0.00   1.10   0.07
sdaa              0.00     0.00    0.25   27.50     0.00     0.23    16.77     1.19   42.74    4.22   43.09   1.78   4.94
dm-4              0.00     0.00    0.11   27.50     0.00     0.23    16.82     2.25   81.46    2.59   81.76   1.81   5.00
sdab              0.00     0.00    2.52    0.97     0.00     0.00     2.62     0.01    1.78    0.79    4.35   1.74   0.61
dm-5              0.00     0.00    2.37    0.97     0.00     0.00     2.38     0.01    1.93    0.89    4.46   1.88   0.63
sdac              0.00     0.00    0.25    0.00     0.00     0.00     8.00     0.00    1.19    1.19    0.00   1.14   0.03
