procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  0      0 121813232  37624 6387700    0    0   682  1596   16   17  2  3 94  1  0 2020-02-14 08:33:13
 1  0      0 121032872  37624 6388320    0    0   176   298 5606 22836  3  4 92  0  0 2020-02-14 08:33:16
 0  0      0 120273264  37624 6388524    0    0   220   369 5158 22300  5  5 90  0  0 2020-02-14 08:33:19
 0  0      0 119507392  37624 6391044    0    0    57   303 4782 22186  3  4 93  0  0 2020-02-14 08:33:22
 0  0      0 118752848  37624 6392104    0    0   156   304 5039 21847  3  4 93  0  0 2020-02-14 08:33:25
 4  0      0 118017712  37624 6398520    0    0  7211   200 6598 28439  6  5 88  1  0 2020-02-14 08:33:28
 0  0      0 118000064  37624 6402548    0    0    70   255 1485 14793  1  1 98  0  0 2020-02-14 08:33:31
165  8      0 117510912  37624 6402560    0    0  1021   400 10928 35256 12  6 81  0  0 2020-02-14 08:33:34
17 37      0 116957392  37624 6410020    0    0 180622 28604 68727 105852 26 34 17 23  0 2020-02-14 08:33:37
38 58      0 117033520  37624 6412000    0    0 255168 39167 79693 119342 16 33 19 32  0 2020-02-14 08:33:40
 2  0      0 117017968  37624 6411988    0    0 277739 39189 79555 120824 13 31 22 34  0 2020-02-14 08:33:43
25 37      0 117013584  37624 6411772    0    0 328947 30946 72552 113694 12 30 24 34  0 2020-02-14 08:33:46
41 84      0 117004656  37624 6411712    0    0 365995 21171 63680 101494 15 29 21 35  0 2020-02-14 08:33:49
14 14      0 117007000  37624 6411768    0    0 335833 11170 45976 80341  9 25 23 43  0 2020-02-14 08:33:52
 1 206      0 117002928  37624 6411756    0    0 380785  7236 42819 77783  9 27 24 40  0 2020-02-14 08:33:55
56 28      0 116788880  35612 6405580    0    0 374762  6305 44235 80160 12 28 25 35  0 2020-02-14 08:33:58
 4  2      0 116991904  37624 6412360    0    0 344500  6054 43679 79750  9 24 37 31  0 2020-02-14 08:34:01
 2 101      0 116980976  37624 6412368    0    0 370231  9036 48403 88658  9 25 33 32  0 2020-02-14 08:34:04
14 11      0 116861840  37624 6412372    0    0 351039 10743 50048 91720 11 24 36 29  0 2020-02-14 08:34:07
 7  7      0 116980496  37624 6412436    0    0 322117 12418 51326 91616 11 23 36 30  0 2020-02-14 08:34:10
 5 17      0 117004304  37624 6412496    0    0 322372 20489 59267 103070 11 25 31 33  0 2020-02-14 08:34:13
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 0  0      0 117039728  37624 6412684    0    0 224912 17531 51510 87683  8 19 44 28  0 2020-02-14 08:34:16
 1  3      0 117064552  37624 6412764    0    0 153970 11801 41757 70646  9 15 55 21  0 2020-02-14 08:34:19
 1  0      0 117106160  37624 6412820    0    0  5039  1577 7598 20281  1  2 96  1  0 2020-02-14 08:34:22
16 36      0 117117392  37624 6412932    0    0 325703 22206 57512 99094 12 27 32 30  0 2020-02-14 08:34:25
 0  1      0 117115760  37624 6412988    0    0 335910 15027 56508 98159 14 25 35 27  0 2020-02-14 08:34:28
24 20      0 117155392  37624 6413220    0    0 329260 12840 51432 89172  8 22 46 24  0 2020-02-14 08:34:31
41 63      0 117178528  37624 6413280    0    0 354439 100780 56055 95488  9 27 28 36  0 2020-02-14 08:34:34
43 12      0 117049448  37624 6413440    0    0 284912 128812 53439 84953 10 26 28 36  0 2020-02-14 08:34:37
11 23      0 117173448  37624 6413544    0    0 294017 217392 58353 92630 11 30 20 40  0 2020-02-14 08:34:40
 2 10      0 117176864  37624 6413860    0    0 324098 118765 53549 87252 10 28 21 42  0 2020-02-14 08:34:43
 2  5      0 117176016  37624 6413964    0    0 184751 270329 55508 75407  7 21 48 24  0 2020-02-14 08:34:46
 6  3      0 117176784  37624 6414052    0    0 211609 190770 57214 78467 11 24 37 28  0 2020-02-14 08:34:49
45 67      0 117173848  37624 6414116    0    0 252895 166141 59290 85742  9 24 38 29  0 2020-02-14 08:34:52
15 21      0 117178496  37624 6414116    0    0 296759 52361 59313 93275  9 25 36 30  0 2020-02-14 08:34:55
26 23      0 116956272  34716 6411092    0    0 325526 46302 58899 97657 14 29 27 30  0 2020-02-14 08:34:58
11 11      0 117163888  37624 6414568    0    0 318993 49437 63443 103261 11 27 32 31  0 2020-02-14 08:35:01
22 25      0 117191008  37624 6414604    0    0 309284 64105 59166 99921 10 25 32 32  0 2020-02-14 08:35:04
21 92      0 117074336  37624 6414696    0    0 291139 110633 61337 102475 10 24 41 25  0 2020-02-14 08:35:07
24 35      0 117193624  37624 6414756    0    0 289397 128747 55539 92255 10 26 31 33  0 2020-02-14 08:35:10
25 31      0 117192080  37624 6414812    0    0 234966 145053 59465 95162  6 21 42 31  0 2020-02-14 08:35:13
 7 10      0 117192792  37624 6415348    0    0 264656 171361 60435 98765  8 24 37 30  0 2020-02-14 08:35:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  8      0 117186568  37624 6414836    0    0 264638 142275 63140 103357 11 25 38 26  0 2020-02-14 08:35:19
14 85      0 117185408  37624 6415656    0    0 149292 180373 58618 93900  4 17 57 22  0 2020-02-14 08:35:22
24 69      0 117189760  37624 6415692    0    0 245401 144190 59254 95168  7 22 38 33  0 2020-02-14 08:35:25
 2  6      0 117062736  37624 6415784    0    0 208561 156012 62896 101398 13 24 35 29  0 2020-02-14 08:35:28
101 70      0 117066208  37624 6415916    0    0 225919 162658 62945 100327 11 25 39 25  0 2020-02-14 08:35:31
 8  4      0 117053688  37624 6415880    0    0 217527 145547 58857 95058 11 23 39 27  0 2020-02-14 08:35:34
 7  7      0 116952288  37624 6415684    0    0 222321 135168 58589 92353 13 23 37 26  0 2020-02-14 08:35:37
14 20      0 117055384  37624 6415720    0    0 246599 90004 60933 98244 12 24 39 25  0 2020-02-14 08:35:40
 7 11      0 117193432  37624 6415996    0    0 228671 70836 56115 91166  9 21 46 24  0 2020-02-14 08:35:43
 0  0      0 117191376  37624 6416160    0    0 180864 51845 36140 65987  6 16 59 19  0 2020-02-14 08:35:46
30 23      0 117190112  37624 6416220    0    0 214464 63555 42167 72441  9 18 54 18  0 2020-02-14 08:35:49
52 55      0 117193584  37624 6416280    0    0 258882 86402 53845 88073  8 21 49 22  0 2020-02-14 08:35:52
41 19      0 117194800  37624 6416416    0    0 277273 112608 57923 91864  8 24 43 25  0 2020-02-14 08:35:55
