procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6  0      0 6064820  17160 3806772    0    0  3332 11226   12   17  4  7 86  4  0 2020-02-08 10:08:09
 1 16      0 5548420   8580 3805664    0    0  3268 10913 5541 21626 11 14 72  3  0 2020-02-08 10:08:12
 1  0      0 5545212  17160 3807064    0    0  4376  8682 3819 17469  3  6 86  5  0 2020-02-08 10:08:15
16 24      0 5196232  17160 4070864    0    0 33748 10095 26478 39013 22 38 21 19  0 2020-02-08 10:08:18
21 25      0 5195992  17160 4070880    0    0 57007  5358 37452 47673 18 49  1 32  0 2020-02-08 10:08:21
23 27      0 5196012  17160 4070888    0    0 58784  7113 37736 48039 17 51  1 30  0 2020-02-08 10:08:24
18 24      0 5191148  17160 4071236    0    0 61119  5867 37689 48289 19 54  1 26  0 2020-02-08 10:08:27
18 26      0 5195132  17160 4071140    0    0 64895  7017 37674 47650 18 50  1 32  0 2020-02-08 10:08:30
16 25      0 5193888  17160 4071152    0    0 66031  6916 37994 47721 18 48  1 33  0 2020-02-08 10:08:33
15 23      0 5193712  17160 4071172    0    0 67864  6686 37502 47412 19 51  1 29  0 2020-02-08 10:08:36
 9 30      0 5188044  17160 4071204    0    0 68668  8286 37556 47871 18 48  1 33  0 2020-02-08 10:08:39
 9 30      0 5187888  17160 4071352    0    0 68334  9348 37817 48445 18 49  1 32  0 2020-02-08 10:08:42
20 27      0 5186684  17160 4071412    0    0 64136 17275 35829 46358 19 50  1 30  0 2020-02-08 10:08:45
 9 32      0 5183796  17160 4071428    0    0 66590 16627 37384 47584 22 52  1 26  0 2020-02-08 10:08:48
21 26      0 5182520  17160 4071696    0    0 70474 21131 37388 47284 21 52  1 27  0 2020-02-08 10:08:51
13 33      0 5183224  17160 4071756    0    0 66588 19956 36619 47473 18 49  0 33  0 2020-02-08 10:08:54
 3 34      0 5182268  17160 4072068    0    0 62581 20738 32499 45641 21 48  1 30  0 2020-02-08 10:08:57
 2 39      0 5185264  17160 4071996    0    0 64850 26239 33022 46246 16 44  1 39  0 2020-02-08 10:09:00
 3 36      0 5184472  17160 4072016    0    0 65724 26460 33115 47287 16 43  1 40  0 2020-02-08 10:09:03
 1 38      0 5185200  17160 4072004    0    0 68135 24901 32468 45796 18 45  1 36  0 2020-02-08 10:09:06
 1 38      0 5186200  17160 4071984    0    0 67893 28202 32830 46769 17 42  1 40  0 2020-02-08 10:09:09
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 6 33      0 5186384  17160 4072012    0    0 68383 25281 32672 46962 16 42  1 41  0 2020-02-08 10:09:12
 1 35      0 5179132  17160 4072140    0    0 69975 27451 31098 46439 18 45  1 35  0 2020-02-08 10:09:15
 1 37      0 5184060  17160 4072144    0    0 65562 29029 32490 46921 16 42  1 41  0 2020-02-08 10:09:18
 6 33      0 5183468  17160 4072164    0    0 66028 28366 32092 45764 17 43  1 39  0 2020-02-08 10:09:21
 1 37      0 5184840  17160 4072180    0    0 67550 29218 32400 46349 16 41  1 42  0 2020-02-08 10:09:24
 5 33      0 5181076  17160 4072344    0    0 63153 28681 32328 45580 18 45  1 36  0 2020-02-08 10:09:27
 0 38      0 5183840  17160 4072388    0    0 66199 31608 32052 46169 17 42  1 41  0 2020-02-08 10:09:30
21 25      0 5184448  17160 4072396    0    0 68423 29288 32833 46822 16 42  1 41  0 2020-02-08 10:09:33
14 27      0 5183600  17160 4072416    0    0 61990 30968 31860 45922 18 44  2 36  0 2020-02-08 10:09:36
 3 32      0 5183836  17160 4072420    0    0 67849 30237 32686 46716 17 41  1 41  0 2020-02-08 10:09:39
 2 35      0 5189376  17160 4072452    0    0 68404 32506 32346 47379 16 41  1 42  0 2020-02-08 10:09:42
10 31      0 5182732  17160 4072476    0    0 64296 31286 32284 45871 17 45  1 37  0 2020-02-08 10:09:45
 3 34      0 5182432  17160 4072608    0    0 66165 29210 32521 47671 21 45  1 34  0 2020-02-08 10:09:48
17 30      0 5178064  17160 4072632    0    0 65514 31545 31684 46226 17 42  1 41  0 2020-02-08 10:09:51
 4 34      0 5177516  17160 4072648    0    0 64767 31024 31836 46386 16 41  1 43  0 2020-02-08 10:09:54
 2 32      0 5172092  17160 4072920    0    0 64385 30322 31177 44811 17 44  1 38  0 2020-02-08 10:09:57
 9 33      0 5175336  17160 4072864    0    0 67250 30464 31831 46468 16 42  1 41  0 2020-02-08 10:10:00
18 26      0 5176072  17160 4072900    0    0 65843 33132 32856 47567 17 43  1 39  0 2020-02-08 10:10:03
 3 37      0 5177388  17160 4072908    0    0 66689 29054 32220 46589 17 44  1 37  0 2020-02-08 10:10:06
13 28      0 5176236  17160 4072904    0    0 64888 32745 31850 46233 16 40  1 42  0 2020-02-08 10:10:09
 7 30      0 5176036  17160 4072932    0    0 67180 31517 31853 46801 16 41  1 42  0 2020-02-08 10:10:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
15 26      0 5171468  17160 4073000    0    0 65249 31246 31375 46556 17 45  1 37  0 2020-02-08 10:10:15
13 27      0 5176548  17160 4073008    0    0 65875 33678 31669 46452 15 41  1 43  0 2020-02-08 10:10:18
20 24      0 5176660  17160 4073024    0    0 66415 32915 32296 46439 18 42  1 40  0 2020-02-08 10:10:21
10 30      0 5177980  17160 4073036    0    0 65919 31409 31489 46310 15 41  1 43  0 2020-02-08 10:10:24
11 28      0 5173232  17160 4073228    0    0 64881 32293 30995 44820 17 43  1 38  0 2020-02-08 10:10:27
 4 34      0 5178148  17160 4073248    0    0 66212 31947 31663 45585 17 42  1 41  0 2020-02-08 10:10:30
 5 31      0 5176600  17160 4073264    0    0 64425 33743 32205 46617 16 41  1 42  0 2020-02-08 10:10:33
 6 32      0 5177288  17160 4073308    0    0 63056 30839 30935 44995 17 42  1 40  0 2020-02-08 10:10:36
 1 33      0 5176704  17160 4073300    0    0 66572 33774 32158 46168 16 41  1 42  0 2020-02-08 10:10:39
 6 35      0 5176932  17160 4073308    0    0 66000 31155 31868 46819 16 42  1 41  0 2020-02-08 10:10:42
16 27      0 5176192  17160 4073324    0    0 62238 33669 30872 44404 16 42  1 40  0 2020-02-08 10:10:45
 9 35      0 5176648  17160 4073452    0    0 66374 32485 32416 47043 18 43  1 39  0 2020-02-08 10:10:48
 3 33      0 5177244  17160 4073468    0    0 63732 33741 31597 46405 16 42  1 41  0 2020-02-08 10:10:51
10 34      0 5177296  17160 4073472    0    0 67028 31400 31382 45929 15 41  1 43  0 2020-02-08 10:10:54
13 22      0 5177672  17160 4073704    0    0 62559 33235 30988 44347 17 45  1 37  0 2020-02-08 10:10:57
 6 34      0 5180896  17160 4073648    0    0 65135 32909 32030 46696 17 42  1 40  0 2020-02-08 10:11:00
 1 32      0 5180676  17160 4073668    0    0 63849 33157 31497 45919 15 41  2 42  0 2020-02-08 10:11:03
 5 34      0 5179784  17160 4073676    0    0 66236 32554 31010 46047 17 43  1 38  0 2020-02-08 10:11:06
 6 32      0 5180304  17160 4073680    0    0 64064 33598 31399 46331 16 40  1 43  0 2020-02-08 10:11:09
11 33      0 5180860  17160 4073700    0    0 66186 32034 31360 46721 16 40  1 43  0 2020-02-08 10:11:12
17 37      0 5141736  16372 4073172    0    0 66304 30986 30929 46371 19 45  1 35  0 2020-02-08 10:11:15
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 5 34      0 5086432  17160 4073776    0    0 61717 31395 30513 44955 27 45  1 27  0 2020-02-08 10:11:18
 9 32      0 5065104  17160 4073796    0    0 62431 31556 30699 44245 26 46  1 27  0 2020-02-08 10:11:21
 9 34      0 5041324  17160 4073808    0    0 61146 30117 31250 44910 28 44  1 26  0 2020-02-08 10:11:24
12 34      0 5019708  17160 4074004    0    0 57673 31611 30466 43744 27 48  1 24  0 2020-02-08 10:11:27
 2 34      0 5035636  17160 4073952    0    0 62495 31946 30825 44137 27 45  1 27  0 2020-02-08 10:11:30
 6 33      0 5066584  17160 4073960    0    0 59450 31494 30911 44995 26 45  2 27  0 2020-02-08 10:11:33
 5 34      0 4956840  17160 4074096    0    0 55942 30066 30897 44324 28 47  1 24  0 2020-02-08 10:11:36
 4 31      0 5180236  17160 4074108    0    0 61119 31842 32662 46687 18 46  2 35  0 2020-02-08 10:11:39
 3 37      0 5179544  17160 4074120    0    0 63330 31623 33188 47723 16 43  1 39  0 2020-02-08 10:11:42
 5 34      0 5180808  17160 4074140    0    0 59936 30945 32911 46954 18 47  1 34  0 2020-02-08 10:11:45
 0 36      0 5182768  17160 4074140    0    0 59931 31953 32944 46887 19 45  2 35  0 2020-02-08 10:11:48
20 27      0 5182012  17160 4074288    0    0 60010 33070 33032 47146 17 44  1 37  0 2020-02-08 10:11:51
 4 34      0 5182464  17160 4074312    0    0 59461 31126 33079 47111 16 43  1 39  0 2020-02-08 10:11:54
 6 29      0 5178848  17160 4074520    0    0 55137 31188 31174 44652 17 45  2 36  0 2020-02-08 10:11:57
 0 33      0 5182852  17160 4074528    0    0 52228 29195 30359 43902 17 40  3 39  0 2020-02-08 10:12:00
 8 28      0 5182224  17160 4074548    0    0 52577 30039 30366 45136 17 40  2 41  0 2020-02-08 10:12:03
 2 21      0 5175712  17160 4074576    0    0 50844 32242 29463 43847 18 43  3 37  0 2020-02-08 10:12:06
11 24      0 5176680  17160 4074568    0    0 59908 30073 30621 45515 16 40  1 42  0 2020-02-08 10:12:09
 3 29      0 5176832  17160 4074588    0    0 51687 30261 29833 44764 16 40  2 42  0 2020-02-08 10:12:12
 9 22      0 5173452  17160 4074612    0    0 47449 29839 28803 42908 17 41  3 38  0 2020-02-08 10:12:15
 1 30      0 5169124  17160 4074652    0    0 59766 29871 29550 46362 16 41  2 41  0 2020-02-08 10:12:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
17 27      0 5172588  17160 4074668    0    0 54342 28686 30008 44239 17 41  1 40  0 2020-02-08 10:12:21
 8 25      0 5172612  17160 4074676    0    0 56831 31410 30120 44548 16 39  2 43  0 2020-02-08 10:12:24
11 29      0 5170084  17160 4074932    0    0 55642 29548 29707 44009 17 44  3 36  0 2020-02-08 10:12:27
 4 31      0 5173236  17160 4074872    0    0 55803 30562 31195 45928 17 43  1 39  0 2020-02-08 10:12:30
13 27      0 5169504  17160 4074884    0    0 54906 31394 30920 45884 17 42  2 40  0 2020-02-08 10:12:33
14 27      0 5167552  17160 4074976    0    0 52080 35638 29599 44664 17 42  1 39  0 2020-02-08 10:12:36
15 27      0 5167688  17160 4075004    0    0 57466 32007 31238 45995 17 41  2 41  0 2020-02-08 10:12:39
 5 20      0 5164128  17160 4075012    0    0 50903 30242 30382 44483 16 40  2 42  0 2020-02-08 10:12:42
 1 25      0 5164728  17160 4075036    0    0 49659 27632 30661 44382 18 43  2 37  0 2020-02-08 10:12:45
 2 33      0 5149272  17160 4075056    0    0 53314 36842 30982 45918 18 43  2 36  0 2020-02-08 10:12:48
15 31      0 5149280  17160 4075076    0    0 63839 30958 31857 47012 17 43  1 40  0 2020-02-08 10:12:51
26 22      0 5149180  17160 4075088    0    0 57448 31216 32850 47146 16 45  2 37  0 2020-02-08 10:12:54
12 29      0 5144200  17160 4075440    0    0 51180 35948 31434 45554 18 47  2 33  0 2020-02-08 10:12:57
 6 29      0 5146808  17160 4075376    0    0 53280 29781 29767 43809 16 41  4 39  0 2020-02-08 10:13:00
17 21      0 5142984  17160 4075404    0    0 53016 37651 29988 44654 16 40  2 41  0 2020-02-08 10:13:03
 9 30      0 5142688  17160 4075444    0    0 55588 30524 30558 45532 18 44  1 37  0 2020-02-08 10:13:06
 7 31      0 5143412  17160 4075436    0    0 54833 28686 30906 44949 17 42  2 40  0 2020-02-08 10:13:09
10 33      0 5138024  17160 4075452    0    0 53726 32654 29891 44840 16 41  1 42  0 2020-02-08 10:13:12
 8 33      0 5137740  17160 4075452    0    0 60650 31451 30878 46138 18 44  1 38  0 2020-02-08 10:13:15
 2 31      0 5130944  17160 4075500    0    0 61854 38212 29893 46078 17 44  1 38  0 2020-02-08 10:13:18
 1 32      0 5137532  17160 4075512    0    0 60703 34434 30114 45660 16 41  2 41  0 2020-02-08 10:13:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 9 32      0 5136756  17160 4075528    0    0 57218 36618 30688 45542 16 41  1 42  0 2020-02-08 10:13:24
 9 32      0 5132064  17160 4075764    0    0 59630 31870 30351 45080 18 44  1 37  0 2020-02-08 10:13:27
 1 34      0 5131920  17160 4075716    0    0 59502 35703 30357 45360 17 42  1 39  0 2020-02-08 10:13:30
11 30      0 5121924  17160 4075744    0    0 59167 39906 29197 45899 17 41  1 41  0 2020-02-08 10:13:33
 4 32      0 5125712  17160 4075880    0    0 58344 33692 29041 44097 16 40  1 42  0 2020-02-08 10:13:36
 8 32      0 5127816  17160 4075912    0    0 58096 33213 29609 44587 16 39  1 44  0 2020-02-08 10:13:39
 3 37      0 5127204  17160 4075928    0    0 59411 34449 30232 45812 15 39  1 44  0 2020-02-08 10:13:42
11 33      0 5127028  17160 4075940    0    0 63805 32711 30617 45436 17 42  1 40  0 2020-02-08 10:13:45
 2 34      0 5126748  17160 4075936    0    0 60513 34009 30194 45371 18 40  1 41  0 2020-02-08 10:13:48
 3 32      0 5127092  17160 4075940    0    0 59017 34849 30284 46008 16 40  1 44  0 2020-02-08 10:13:51
 0 36      0 5126912  17160 4075960    0    0 60730 37798 29600 45054 15 38  1 45  0 2020-02-08 10:13:54
18 25      0 5123100  17160 4076204    0    0 55653 40206 29213 43498 17 42  2 39  0 2020-02-08 10:13:57
 4 31      0 5122372  17160 4076156    0    0 55073 39152 29913 44801 17 40  1 42  0 2020-02-08 10:14:00
 2 31      0 5122316  17160 4076308    0    0 52088 33553 29641 43745 15 39  2 44  0 2020-02-08 10:14:03
 4 31      0 5121352  17160 4076336    0    0 58543 33873 29489 44470 16 41  1 42  0 2020-02-08 10:14:06
 8 31      0 5122772  17160 4076332    0    0 54677 31029 29386 43604 15 38  2 45  0 2020-02-08 10:14:09
