procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
 3  0      0 531646912  48044 3611064    0    0  3199   241   50   76  3  6 81  9  0 2020-02-17 09:25:22
 2  0      0 530888960  48044 3611372    0    0   210   336 4957 23232  2  2 96  0  0 2020-02-17 09:25:25
 1  0      0 530210176  48044 3611472    0    0   116   264 4204 22226  1  1 97  0  0 2020-02-17 09:25:28
 1  0      0 529640128  48044 3609280    0    0  8606   407 5500 27563  2  2 96  0  0 2020-02-17 09:25:31
 1  0      0 529647072  48044 3615836    0    0   148   223 1556 16284  0  0 99  0  0 2020-02-17 09:25:34
49 47      0 529190528  48044 3621192    0    0 370065 72923 97816 171498 17 22 43 18  0 2020-02-17 09:25:37
12 20      0 529184768  48044 3621372    0    0 491582 105837 140577 236958 11 21 41 26  0 2020-02-17 09:25:40
11 11      0 529158848  48044 3622480    0    0 193108 104874 99411 127112  5  9 68 17  0 2020-02-17 09:25:43
 8 13      0 529166528  48044 3622200    0    0 101401 105662 91396 112448  3  7 74 16  0 2020-02-17 09:25:46
26  5      0 529166656  48044 3623196    0    0 130876 107006 93732 106507  4  8 81  8  0 2020-02-17 09:25:49
 6  4      0 529151808  48044 3617512    0    0 49122 59041 70094 80824  2  5 91  2  0 2020-02-17 09:25:52
13 68      0 529156352  48044 3623424    0    0 236257 93864 99141 132661  6 12 71 12  0 2020-02-17 09:25:55
30 53      0 529157312  48044 3623368    0    0 590451 121312 147859 225490 13 27 22 39  0 2020-02-17 09:25:58
 6  9      0 529162848  48044 3623496    0    0 217498 105091 99132 139435  5 10 66 19  0 2020-02-17 09:26:01
21 48      0 529161216  48044 3623348    0    0 218564 154557 102843 146377  5 11 66 18  0 2020-02-17 09:26:04
14 15      0 529157408  48044 3623332    0    0 272322 101542 108172 150907  6 12 64 19  0 2020-02-17 09:26:07
24 85      0 529156384  48044 3623360    0    0 344972 114029 114702 166677  7 14 57 21  0 2020-02-17 09:26:10
40 52      0 529136096  48044 3623580    0    0 517488 148393 132902 210621 12 23 34 31  0 2020-02-17 09:26:13
30 19      0 529144512  48044 3623708    0    0 535049 150869 139045 216133 12 23 31 34  0 2020-02-17 09:26:16
 7 15      0 529153824  48044 3623236    0    0 92980 106416 78577 106963  2  6 77 14  0 2020-02-17 09:26:19
11 22      0 529151456  48044 3623176    0    0 128122 100244 88625 111297  4  7 75 14  0 2020-02-17 09:26:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CST
43 59      0 529152832  48044 3623024    0    0 394745 151326 125522 186043  9 16 57 18  0 2020-02-17 09:26:25
25 41      0 529152704  48044 3622968    0    0 585361 134460 142052 219478 13 26 21 40  0 2020-02-17 09:26:28
 9 31      0 529082336  48044 3622920    0    0 387847 141860 120349 182547  9 18 45 28  0 2020-02-17 09:26:31
12 26      0 529161856  48044 3622912    0    0 152769 120120 90994 130794  4  9 71 16  0 2020-02-17 09:26:34
