Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/11/2020 	_x86_64_	(32 CPU)

02/11/2020 12:13:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.41    0.00    6.94   13.55    0.00   76.10

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.01    0.00     0.00     0.00    56.15     0.00    0.18    0.18    0.00   0.13   0.00
sdc               0.03     0.08    1.91   20.55     0.08     0.21    26.61     0.36   16.10    3.48   17.28   1.73   3.88
sde               0.00     0.00   17.34   51.95     0.58     0.88    43.13     0.33    4.70    0.15    6.22   2.25  15.57
sdd               0.00     0.00   35.68    2.35     0.14     0.00     7.67     0.01    0.30    0.11    3.23   0.30   1.12
sdf               0.00     0.00   16.45   50.81     0.58     0.88    44.43     0.33    4.90    0.15    6.44   2.34  15.72
sdh               0.00     0.00 1062.91  356.46     8.34     2.95    16.29     6.39    4.50    4.49    4.51   0.32  44.77
sdg               0.00     0.00   32.60   51.39     0.67     0.87    37.64     0.33    3.89    0.13    6.28   1.88  15.76
sdi               0.00     0.00   17.60    0.33     0.08     0.00     9.25     0.04    2.35    2.33    3.24   2.30   4.12
sdj               0.00     0.00 1058.44  356.91     8.30     2.95    16.29     6.18    4.37    4.37    4.37   0.32  45.02
sdl               0.00     0.00   17.64    0.32     0.08     0.00     9.25     0.04    2.33    2.32    3.17   2.16   3.88
sdk               0.00     0.00  837.02  251.92     6.99     2.11    17.12     3.97    3.64    3.57    3.88   0.11  12.24
sdm               0.00     0.00 1050.74  356.42     8.26     2.96    16.33     6.54    4.65    4.65    4.64   0.32  45.39
sdq               0.00     0.00 1070.05  356.56     8.39     2.95    16.28     6.49    4.55    4.55    4.56   0.31  44.53
sdn               0.00     0.00 1057.14  356.05     8.30     2.94    16.29     6.38    4.52    4.54    4.44   0.32  44.77
sdp               0.00     0.00 1061.70  356.84     8.33     2.95    16.29     6.36    4.48    4.50    4.44   0.32  44.73
sdo               0.00     0.00 1057.43  356.06     8.31     2.95    16.32     6.19    4.38    4.38    4.39   0.32  45.00
sdr               0.00     0.00 1066.24  357.95     8.39     2.97    16.33     6.45    4.53    4.54    4.49   0.32  45.27
sda               0.00     0.06    2.71    7.04     0.05     0.06    23.00     0.23   23.89    3.78   31.64   3.07   2.99
dm-0              0.00     0.00    1.97   20.63     0.08     0.21    26.44     0.37   16.16    3.51   17.37   1.71   3.87
sds               0.00     0.00    0.40  122.11     0.00     1.01    17.01     0.99    8.09    6.59    8.09   0.22   2.74
dm-1              0.00     0.00    0.28  122.11     0.00     1.01    17.02     2.29   18.73    6.50   18.76   0.22   2.67
sdt               0.00     0.00    0.20    0.00     0.00     0.00     8.00     0.00    1.29    1.29    0.00   1.25   0.02
dm-2              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.47    1.47    0.00   1.47   0.01
sdu               0.00     0.00    0.71    0.00     0.00     0.00     8.00     0.00    1.18    1.18    0.00   1.17   0.08
dm-3              0.00     0.00    0.59    0.00     0.00     0.00     8.00     0.00    1.30    1.30    0.00   1.27   0.07
sdv               0.00     0.00    0.25    0.00     0.00     0.00     6.45     0.00    8.70    8.70    3.00   8.47   0.21
dm-4              0.00     0.00    0.13    0.00     0.00     0.00     5.02     0.00    7.80    7.80    3.00   7.80   0.10
sdw               0.00     0.00    2.44    0.99     0.00     0.00     2.37     0.01    2.14    1.22    4.42   2.12   0.73
dm-5              0.00     0.00    2.32    0.99     0.00     0.00     2.17     0.01    2.32    1.36    4.59   2.29   0.76
sdx               0.00     0.00    0.20  159.80     0.00     1.32    16.96     2.64   16.50    7.47   16.51   0.77  12.33
dm-6              0.00     0.00    0.08  159.80     0.00     1.32    16.96     4.14   25.92    7.58   25.93   0.81  12.88
sdy               0.00     0.00    0.20    0.00     0.00     0.00     8.00     0.00    1.30    1.30    0.00   1.26   0.02
dm-7              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.39    1.39    0.00   1.39   0.01
sdz               0.00     0.00    0.20  160.26     0.00     1.32    16.92     2.51   15.65    7.37   15.66   0.76  12.12
