Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 09:34:15 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.32    0.00    6.66    9.75    0.00   80.27

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
dm-15             0.00     0.00    0.09   42.75     0.00     0.35    16.61     3.33   77.84    6.21   78.00   1.92   8.21
sdam              0.00     0.00    0.23   43.25     0.00     0.35    16.68     2.07   47.60    9.76   47.80   1.99   8.64
dm-16             0.00     0.00    0.09   43.25     0.00     0.35    16.71     3.84   88.55   12.07   88.71   2.02   8.74
sdan              0.00     0.00    0.23   45.38     0.00     0.37    16.60     1.98   43.50    6.97   43.68   1.80   8.22
dm-17             0.00     0.00    0.09   45.38     0.00     0.37    16.63     3.69   81.21    7.69   81.36   1.83   8.33
sdao              0.00     0.00    0.23   42.88     0.00     0.35    16.60     2.08   48.13    7.73   48.35   2.01   8.67
dm-18             0.00     0.00    0.09   42.88     0.00     0.35    16.62     3.78   87.86    7.03   88.04   2.04   8.79
sdap              0.00     0.00    0.23   40.16     0.00     0.33    16.68     1.98   48.96    8.87   49.19   2.12   8.58
dm-19             0.00     0.00    0.09   40.16     0.00     0.33    16.71     3.50   87.01    5.58   87.20   2.17   8.75
sdaq              0.00     0.00    0.23   44.25     0.00     0.36    16.70     2.07   46.55    8.65   46.75   1.95   8.68
dm-20             0.00     0.00    0.10   44.25     0.00     0.36    16.73     3.74   84.24    6.50   84.41   1.99   8.80
sdar              0.00     0.00    0.23   46.22     0.00     0.38    16.69     2.26   48.71   10.93   48.90   1.92   8.93
dm-21             0.00     0.00    0.09   46.22     0.00     0.38    16.72     4.39   94.69   11.71   94.86   1.98   9.17
sdas              0.00     0.00    0.23    7.49     0.00     0.20    52.59     0.13   16.54    5.13   16.89   8.52   6.58
dm-22             0.00     0.00    0.09    7.49     0.00     0.20    53.40     0.13   16.94    4.50   17.10   8.73   6.62
sdat              0.00     0.00    0.23    6.95     0.00     0.19    53.71     0.12   16.95    4.55   17.37   8.39   6.02
dm-23             0.00     0.00    0.10    6.95     0.00     0.19    54.60     0.12   17.38    4.37   17.56   8.59   6.05
sdau              0.00     0.00    0.23    7.67     0.00     0.19    49.56     0.12   15.70    4.92   16.02   8.03   6.34
