Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/11/2020 	_x86_64_	(32 CPU)

02/11/2020 11:30:41 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.11    0.00    6.17   10.99    0.00   79.74

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.02    0.00     0.00     0.00    56.15     0.00    0.18    0.18    0.00   0.13   0.00
sdc               0.04     0.08    2.35   20.81     0.10     0.23    28.77     0.37   16.11    3.53   17.53   1.74   4.04
sde               0.00     0.00   16.92   44.05     0.56     0.86    47.44     0.28    4.58    0.15    6.29   2.22  13.52
sdd               0.00     0.00   35.63    2.35     0.14     0.00     7.70     0.01    0.30    0.10    3.24   0.30   1.12
sdf               0.00     0.00   16.48   44.54     0.58     0.86    48.38     0.28    4.57    0.15    6.20   2.23  13.61
sdh               0.00     0.00 1116.58  383.28     8.79     3.18    16.34     6.31    4.21    4.22    4.18   0.33  49.66
sdg               0.00     0.00   32.16   43.96     0.65     0.85    40.40     0.28    3.65    0.12    6.23   1.79  13.64
sdi               0.00     0.00   17.54    0.32     0.08     0.00     9.26     0.04    2.33    2.32    3.24   2.28   4.08
sdj               0.00     0.00 1113.86  384.13     8.76     3.19    16.33     6.21    4.14    4.17    4.07   0.33  49.85
sdl               0.00     0.00   17.59    0.32     0.08     0.00     9.25     0.04    2.33    2.31    3.19   2.15   3.86
sdk               0.00     0.00   17.59    0.32     0.08     0.00     9.25     0.04    2.41    2.40    3.24   2.24   4.00
sdm               0.00     0.00 1105.12  383.88     8.72     3.20    16.39     6.60    4.43    4.46    4.35   0.34  50.41
sdq               0.00     0.00 1123.30  383.28     8.83     3.18    16.33     6.33    4.20    4.21    4.17   0.33  49.37
sdn               0.00     0.00 1111.64  383.45     8.75     3.18    16.34     6.40    4.28    4.33    4.14   0.33  49.64
sdp               0.00     0.00 1116.06  383.75     8.78     3.19    16.34     6.34    4.22    4.26    4.11   0.33  49.63
