Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(64 CPU)

02/20/2020 10:36:38 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4.75    0.00    6.73   15.78    0.00   72.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdao              0.00     0.00    0.27   19.79     0.00     0.16    16.58     0.56   27.94    1.79   28.30   2.18   4.38
dm-13             0.00     0.00    0.11   19.79     0.00     0.16    16.65     0.67   33.71    2.32   33.89   2.40   4.77
sdap              0.00     0.00    0.28   19.93     0.00     0.16    16.65     0.44   21.60    1.50   21.88   1.99   4.02
dm-14             0.00     0.00    0.12   19.93     0.00     0.16    16.72     0.49   24.52    1.57   24.66   2.11   4.23
sdaq              0.00     0.00    0.27   20.00     0.00     0.16    16.55     0.50   24.45    1.81   24.76   2.06   4.17
dm-15             0.00     0.00    0.11   20.00     0.00     0.16    16.61     0.58   28.63    2.55   28.78   2.20   4.43
sdar              0.00     0.00    0.27   19.94     0.00     0.17    16.86     0.51   25.21    1.68   25.54   2.06   4.16
dm-16             0.00     0.00    0.11   19.94     0.00     0.17    16.93     0.60   29.90    1.67   30.06   2.27   4.56
sdas              0.00     0.00    0.28   20.07     0.00     0.16    16.50     0.54   26.71    1.32   27.06   2.13   4.34
dm-17             0.00     0.00    0.12   20.07     0.00     0.16    16.57     0.65   32.04    1.53   32.21   2.34   4.72
sdat              0.00     0.00    0.27   19.71     0.00     0.16    16.71     0.51   25.52    1.75   25.85   2.11   4.22
dm-18             0.00     0.00    0.11   19.71     0.00     0.16    16.78     0.61   30.89    2.51   31.06   2.32   4.60
sdau              0.00     0.00    0.27   19.89     0.00     0.16    16.61     0.45   22.44    2.59   22.71   2.01   4.06
dm-19             0.00     0.00    0.11   19.89     0.00     0.16    16.68     0.51   25.27    2.85   25.40   2.12   4.24
sdav              0.00     0.00    0.27   19.83     0.00     0.16    16.66     0.42   20.76    1.45   21.02   1.95   3.92
dm-20             0.00     0.00    0.11   19.83     0.00     0.16    16.73     0.48   23.98    1.55   24.11   2.07   4.12
sdaw              0.00     0.00    0.27   20.05     0.00     0.16    16.70     0.45   21.93    2.12   22.20   1.99   4.05
dm-21             0.00     0.00    0.11   20.05     0.00     0.16    16.77     0.50   24.65    2.88   24.78   2.12   4.27
sdax              0.00     0.00    0.27   12.09     0.00     0.10    16.03     0.09    7.40    0.99    7.54   4.72   5.83
dm-22             0.00     0.00    0.11   12.09     0.00     0.10    16.14     0.09    7.61    1.35    7.67   4.84   5.92
sday              0.00     0.00    0.27   11.06     0.00     0.09    16.43     0.09    7.73    1.78    7.88   4.91   5.56
dm-23             0.00     0.00    0.11   11.06     0.00     0.09    16.55     0.09    7.96    2.63    8.01   5.04   5.63
sdaz              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    4.14    4.14    0.00   3.67   0.10
dm-24             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    3.83    3.83    0.00   3.82   0.04
