Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/11/2020 	_x86_64_	(32 CPU)

02/11/2020 11:54:06 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.21    0.00    6.44   11.72    0.00   78.63

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.01    0.00     0.00     0.00    56.15     0.00    0.18    0.18    0.00   0.13   0.00
sdc               0.04     0.08    2.11   20.70     0.09     0.22    27.41     0.37   16.08    3.48   17.37   1.73   3.95
sde               0.00     0.00   17.06   44.17     0.56     0.89    48.53     0.28    4.58    0.15    6.29   2.21  13.56
sdd               0.00     0.00   35.71    2.35     0.14     0.00     7.69     0.01    0.30    0.11    3.24   0.30   1.13
sdf               0.00     0.00   16.54   44.30     0.58     0.89    49.46     0.28    4.60    0.15    6.26   2.24  13.66
sdh               0.00     0.00 1174.84  394.51     9.23     3.27    16.30     7.06    4.50    4.50    4.51   0.31  49.22
sdg               0.00     0.00   32.32   43.90     0.66     0.88    41.37     0.28    3.68    0.13    6.30   1.81  13.76
sdi               0.00     0.00   17.61    0.32     0.08     0.00     9.25     0.04    2.34    2.33    3.25   2.29   4.11
sdj               0.00     0.00 1169.55  395.01     9.18     3.27    16.29     6.84    4.37    4.37    4.37   0.32  49.42
sdl               0.00     0.00   17.66    0.32     0.08     0.00     9.25     0.04    2.34    2.32    3.19   2.16   3.89
sdk               0.00     0.00  111.39   21.06     1.36     0.18    23.78     0.43    3.28    3.21    3.62   0.40   5.26
sdm               0.00     0.00 1161.36  394.46     9.14     3.27    16.34     7.24    4.65    4.66    4.64   0.32  49.90
sdq               0.00     0.00 1182.74  394.62     9.28     3.26    16.29     7.18    4.55    4.55    4.56   0.31  48.95
sdn               0.00     0.00 1168.44  394.01     9.18     3.26    16.30     7.06    4.52    4.55    4.44   0.31  49.20
sdp               0.00     0.00 1173.49  394.93     9.21     3.27    16.30     7.03    4.48    4.50    4.44   0.31  49.17
sdo               0.00     0.00 1168.77  394.06     9.19     3.26    16.32     6.85    4.38    4.38    4.39   0.32  49.47
sdr               0.00     0.00 1178.52  396.15     9.28     3.28    16.34     7.13    4.53    4.54    4.49   0.32  49.77
sda               0.00     0.06    3.00    6.86     0.05     0.06    23.36     0.23   23.76    3.77   32.50   3.00   2.96
dm-0              0.00     0.00    2.18   20.78     0.09     0.22    27.23     0.37   16.14    3.51   17.47   1.72   3.94
sds               0.00     0.00    0.26   13.07     0.00     0.11    16.77     0.10    7.31    7.21    7.31   0.30   0.40
dm-1              0.00     0.00    0.14   13.07     0.00     0.11    16.85     0.24   18.05    6.62   18.18   0.24   0.31
sdt               0.00     0.00    0.20    0.00     0.00     0.00     8.00     0.00    1.27    1.27    0.00   1.23   0.02
dm-2              0.00     0.00    0.08    0.00     0.00     0.00     8.00     0.00    1.46    1.46    0.00   1.46   0.01
sdu               0.00     0.00    0.72    0.00     0.00     0.00     8.00     0.00    1.20    1.20    0.00   1.18   0.08
dm-3              0.00     0.00    0.59    0.00     0.00     0.00     8.00     0.00    1.32    1.32    0.00   1.29   0.08
sdv               0.00     0.00    0.26    0.00     0.00     0.00     6.48     0.00    8.80    8.80    3.00   8.55   0.22
dm-4              0.00     0.00    0.13    0.00     0.00     0.00     5.08     0.00    7.92    7.92    3.00   7.91   0.11
